"chr","pos","score","method"
"chr1",10079872,5.841,"xpclr"
"chr1",10163873,6.162,"xpclr"
"chr1",10247873,7.706,"xpclr"
"chr1",10331873,11.242,"xpclr"
"chr1",10415874,12.489,"xpclr"
"chr1",10499874,6.771,"xpclr"
"chr1",10583874,5.966,"xpclr"
"chr1",10667875,5.303,"xpclr"
"chr1",10751875,4.282,"xpclr"
"chr1",10835875,4.091,"xpclr"
"chr1",10919876,4.766,"xpclr"
"chr1",11003876,7.88,"xpclr"
"chr1",11087876,8.481,"xpclr"
"chr1",11171877,5.452,"xpclr"
"chr1",11255877,8.65,"xpclr"
"chr1",11339877,11.374,"xpclr"
"chr1",11423878,14.718,"xpclr"
"chr1",11507878,9.162,"xpclr"
"chr1",11591878,12.413,"xpclr"
"chr1",11675879,13.795,"xpclr"
"chr1",11759879,11.435,"xpclr"
"chr1",11843879,17.161,"xpclr"
"chr1",11927880,9.163,"xpclr"
"chr1",12011880,4.642,"xpclr"
"chr1",12095880,4.641,"xpclr"
"chr1",12179881,5.687,"xpclr"
"chr1",12263881,6.09,"xpclr"
"chr1",12347881,7.174,"xpclr"
"chr1",12431882,5.025,"xpclr"
"chr1",12515882,3.897,"xpclr"
"chr1",12599882,3.552,"xpclr"
"chr1",12683883,3.424,"xpclr"
"chr1",12767883,4.06,"xpclr"
"chr1",12851883,5.456,"xpclr"
"chr1",12935884,4.008,"xpclr"
"chr1",13019884,3.127,"xpclr"
"chr1",13103884,2.251,"xpclr"
"chr1",13187885,2.972,"xpclr"
"chr1",13271885,4.227,"xpclr"
"chr1",13355885,4.858,"xpclr"
"chr1",13439886,3.649,"xpclr"
"chr1",13523886,2.448,"xpclr"
"chr1",13607886,3.021,"xpclr"
"chr1",13691887,2.674,"xpclr"
"chr1",13775887,3.063,"xpclr"
"chr1",13859887,4.003,"xpclr"
"chr1",13943888,5.304,"xpclr"
"chr1",14027888,8.114,"xpclr"
"chr1",14111888,14.573,"xpclr"
"chr1",14195889,12.167,"xpclr"
"chr1",14279889,13.69,"xpclr"
"chr1",14363889,11.957,"xpclr"
"chr1",14447890,11.999,"xpclr"
"chr1",14531890,13.104,"xpclr"
"chr1",14615890,15.244,"xpclr"
"chr1",14699891,15.394,"xpclr"
"chr1",14783891,16.607,"xpclr"
"chr1",14867891,20.082,"xpclr"
"chr1",14951892,23.848,"xpclr"
"chr1",15035892,28.146,"xpclr"
"chr1",15119892,30.321,"xpclr"
"chr1",15203893,31.214,"xpclr"
"chr1",15287893,34.703,"xpclr"
"chr1",15371893,37.631,"xpclr"
"chr1",15455894,41.115,"xpclr"
"chr1",15539894,41.205,"xpclr"
"chr1",15623894,41.368,"xpclr"
"chr1",15707895,42.548,"xpclr"
"chr1",15791895,44.974,"xpclr"
"chr1",15875896,45.144,"xpclr"
"chr1",15959896,46.72,"xpclr"
"chr1",16043896,44.993,"xpclr"
"chr1",16127897,43.265,"xpclr"
"chr1",16211897,41.877,"xpclr"
"chr1",16295897,40.484,"xpclr"
"chr1",16379898,38.001,"xpclr"
"chr1",16463898,35.649,"xpclr"
"chr1",16547898,32.809,"xpclr"
"chr1",16631899,29.93,"xpclr"
"chr1",16715899,27.3,"xpclr"
"chr1",16799899,24.837,"xpclr"
"chr1",16883900,22.374,"xpclr"
"chr1",16967900,19.585,"xpclr"
"chr1",17051900,17.023,"xpclr"
"chr1",17135901,14.682,"xpclr"
"chr1",17219901,12.754,"xpclr"
"chr1",17303901,11.161,"xpclr"
"chr1",17387902,10.29,"xpclr"
"chr1",17471902,8.592,"xpclr"
"chr1",17555902,7.535,"xpclr"
"chr1",17639903,6.225,"xpclr"
"chr1",17723903,5.717,"xpclr"
"chr1",17807903,4.541,"xpclr"
"chr1",17891904,4.452,"xpclr"
"chr1",17975904,3.778,"xpclr"
"chr1",18059904,3.417,"xpclr"
"chr1",18143905,2.78,"xpclr"
"chr1",18227905,3.455,"xpclr"
"chr1",18311905,4.882,"xpclr"
"chr1",18395906,5.154,"xpclr"
"chr1",18479906,4.809,"xpclr"
"chr1",18563906,5.187,"xpclr"
"chr1",18647907,6.705,"xpclr"
"chr1",18731907,6.236,"xpclr"
"chr1",18815907,4.058,"xpclr"
"chr1",18899908,4.172,"xpclr"
"chr1",18983908,4.775,"xpclr"
"chr1",19067908,4.001,"xpclr"
"chr1",19151909,3.146,"xpclr"
"chr1",19235909,2.644,"xpclr"
"chr1",19319909,4.915,"xpclr"
"chr1",19403910,5.225,"xpclr"
"chr1",19487910,3.812,"xpclr"
"chr1",19571910,2.52,"xpclr"
"chr1",19655911,1.727,"xpclr"
"chr1",19739911,2.921,"xpclr"
"chr1",19823911,3.217,"xpclr"
"chr1",19907912,5.358,"xpclr"
"chr1",19991912,8.384,"xpclr"
"chr1",20075912,4.318,"xpclr"
"chr1",20159913,4.872,"xpclr"
"chr1",20243913,3.986,"xpclr"
"chr1",20327913,2.216,"xpclr"
"chr1",20411914,3.352,"xpclr"
"chr1",20495914,3.42,"xpclr"
"chr1",20579914,5.642,"xpclr"
"chr1",20663915,6.448,"xpclr"
"chr1",20747915,3.487,"xpclr"
"chr1",20831915,2.731,"xpclr"
"chr1",20915916,3.754,"xpclr"
"chr1",20999916,4.483,"xpclr"
"chr1",21083916,2.349,"xpclr"
"chr1",21167917,3.866,"xpclr"
"chr1",21251917,4.423,"xpclr"
"chr1",21335917,4.754,"xpclr"
"chr1",21419918,2.64,"xpclr"
"chr1",21503918,2.92,"xpclr"
"chr1",21587918,2.208,"xpclr"
"chr1",21671919,1.163,"xpclr"
"chr1",21755919,1.211,"xpclr"
"chr1",21839919,1.417,"xpclr"
"chr1",21923920,1.287,"xpclr"
"chr1",22007920,3.72,"xpclr"
"chr1",22091920,2.643,"xpclr"
"chr1",22175921,4.386,"xpclr"
"chr1",22259921,4.833,"xpclr"
"chr1",22343921,3.232,"xpclr"
"chr1",22427922,2.149,"xpclr"
"chr1",22511922,1.78,"xpclr"
"chr1",22595922,2.041,"xpclr"
"chr1",22679923,3.3,"xpclr"
"chr1",22763923,2.62,"xpclr"
"chr1",22847923,3.472,"xpclr"
"chr1",22931924,4.624,"xpclr"
"chr1",23015924,3.657,"xpclr"
"chr1",23099924,2.185,"xpclr"
"chr1",23183925,1.568,"xpclr"
"chr1",23267925,1.913,"xpclr"
"chr1",23351925,3.2,"xpclr"
"chr1",23435926,1.471,"xpclr"
"chr1",23519926,2.947,"xpclr"
"chr1",23603926,2.961,"xpclr"
"chr1",23687927,2.468,"xpclr"
"chr1",23771927,2.469,"xpclr"
"chr1",23855927,3.071,"xpclr"
"chr1",23939928,4.197,"xpclr"
"chr1",24023928,5.877,"xpclr"
"chr1",24107928,4.133,"xpclr"
"chr1",24191929,2.699,"xpclr"
"chr1",24275929,1.329,"xpclr"
"chr1",24359929,1.129,"xpclr"
"chr1",24443930,2.322,"xpclr"
"chr1",24527930,2.306,"xpclr"
"chr1",24611930,1.511,"xpclr"
"chr1",24695931,1.303,"xpclr"
"chr1",24779931,1.068,"xpclr"
"chr1",24863931,0.683,"xpclr"
"chr1",24947932,0.8,"xpclr"
"chr1",25031932,0.963,"xpclr"
"chr1",25115932,1.021,"xpclr"
"chr1",25199933,0.669,"xpclr"
"chr1",25283933,0.724,"xpclr"
"chr1",25367933,0.481,"xpclr"
"chr1",25451934,0.364,"xpclr"
"chr1",25535934,0.367,"xpclr"
"chr1",25619934,0.601,"xpclr"
"chr1",25703935,1.044,"xpclr"
"chr1",25787935,1.218,"xpclr"
"chr1",25871935,1.071,"xpclr"
"chr1",25955936,0.678,"xpclr"
"chr1",26039936,0.8,"xpclr"
"chr1",26123936,0.488,"xpclr"
"chr1",26207937,0.697,"xpclr"
"chr1",26291937,1.395,"xpclr"
"chr1",26375938,1.267,"xpclr"
"chr1",26459938,2.294,"xpclr"
"chr1",26543938,2.745,"xpclr"
"chr1",26627939,4.056,"xpclr"
"chr1",26711939,4.173,"xpclr"
"chr1",26795939,3.562,"xpclr"
"chr1",26879940,4.695,"xpclr"
"chr1",26963940,5.111,"xpclr"
"chr1",27047940,7.496,"xpclr"
"chr1",27131941,6.593,"xpclr"
"chr1",27215941,8.014,"xpclr"
"chr1",27299941,10.292,"xpclr"
"chr1",27383942,9.931,"xpclr"
"chr1",27467942,12.015,"xpclr"
"chr1",27551942,13.249,"xpclr"
"chr1",27635943,15.351,"xpclr"
"chr1",27719943,17.94,"xpclr"
"chr1",27803943,18.424,"xpclr"
"chr1",27887944,19.72,"xpclr"
"chr1",27971944,21.365,"xpclr"
"chr1",28055944,19.866,"xpclr"
"chr1",28139945,19.763,"xpclr"
"chr1",28223945,20.875,"xpclr"
"chr1",28307945,23.523,"xpclr"
"chr1",28391946,22.612,"xpclr"
"chr1",28475946,19.433,"xpclr"
"chr1",28559946,18.863,"xpclr"
"chr1",28643947,18.83,"xpclr"
"chr1",28727947,17.291,"xpclr"
"chr1",28811947,14.301,"xpclr"
"chr1",28895948,12.609,"xpclr"
"chr1",28979948,9.724,"xpclr"
"chr1",29063948,8.456,"xpclr"
"chr1",29147949,7.383,"xpclr"
"chr1",29231949,7.794,"xpclr"
"chr1",29315949,6.071,"xpclr"
"chr1",29399950,6.962,"xpclr"
"chr1",29483950,4.266,"xpclr"
"chr1",29567950,4.293,"xpclr"
"chr1",29651951,2.349,"xpclr"
"chr1",29735951,1.689,"xpclr"
"chr1",29819951,1.877,"xpclr"
"chr1",29903952,2.113,"xpclr"
"chr1",29987952,1.577,"xpclr"
"chr1",30071952,1.175,"xpclr"
"chr1",30155953,1.456,"xpclr"
"chr1",30239953,1.189,"xpclr"
"chr1",30323953,1.797,"xpclr"
"chr1",30407954,2.218,"xpclr"
"chr1",30491954,1.886,"xpclr"
"chr1",30575954,1.658,"xpclr"
"chr1",30659955,1.123,"xpclr"
"chr1",30743955,1.772,"xpclr"
"chr1",30827955,1.352,"xpclr"
"chr1",30911956,1.06,"xpclr"
"chr1",30995956,2.528,"xpclr"
"chr1",31079956,1.102,"xpclr"
"chr1",31163957,0.904,"xpclr"
"chr1",31247957,1.817,"xpclr"
"chr1",31331957,1.58,"xpclr"
"chr1",31415958,1.507,"xpclr"
"chr1",31499958,1.414,"xpclr"
"chr1",31583958,0.849,"xpclr"
"chr1",31667959,0.887,"xpclr"
"chr1",31751959,1.644,"xpclr"
"chr1",31835959,1.353,"xpclr"
"chr1",31919960,1.382,"xpclr"
"chr1",32003960,1.345,"xpclr"
"chr1",32087960,1.561,"xpclr"
"chr1",32171961,1.185,"xpclr"
"chr1",32255961,1.384,"xpclr"
"chr1",32339961,1.13,"xpclr"
"chr1",32423962,1.51,"xpclr"
"chr1",32507962,2.035,"xpclr"
"chr1",32591962,2.833,"xpclr"
"chr1",32675963,2.762,"xpclr"
"chr1",32759963,1.452,"xpclr"
"chr1",32843963,1.392,"xpclr"
"chr1",32927964,0.902,"xpclr"
"chr1",33011964,0.756,"xpclr"
"chr1",33095964,1.07,"xpclr"
"chr1",33179965,0.767,"xpclr"
"chr1",33263965,0.555,"xpclr"
"chr1",33347965,0.358,"xpclr"
"chr1",33431966,0.52,"xpclr"
"chr1",33515966,0.573,"xpclr"
"chr1",33599966,0.55,"xpclr"
"chr1",33683967,1.118,"xpclr"
"chr1",33767967,1.69,"xpclr"
"chr1",33851967,3.403,"xpclr"
"chr1",33935968,1.706,"xpclr"
"chr1",34019968,1.319,"xpclr"
"chr1",34103968,2.164,"xpclr"
"chr1",34187969,2.661,"xpclr"
"chr1",34271969,2.065,"xpclr"
"chr1",34355969,2.452,"xpclr"
"chr1",34439970,3.271,"xpclr"
"chr1",34523970,1.875,"xpclr"
"chr1",34607970,1.581,"xpclr"
"chr1",34691971,1.734,"xpclr"
"chr1",34775971,2.221,"xpclr"
"chr1",34859971,1.584,"xpclr"
"chr1",34943972,2.443,"xpclr"
"chr1",35027972,1.625,"xpclr"
"chr1",35111972,2.474,"xpclr"
"chr1",35195973,1.558,"xpclr"
"chr1",35279973,1.912,"xpclr"
"chr1",35363973,1.316,"xpclr"
"chr1",35447974,1.604,"xpclr"
"chr1",35531974,2.165,"xpclr"
"chr1",35615974,1.51,"xpclr"
"chr1",35699975,2.13,"xpclr"
"chr1",35783975,1.716,"xpclr"
"chr1",35867975,1.816,"xpclr"
"chr1",35951976,1.367,"xpclr"
"chr1",36035976,1.227,"xpclr"
"chr1",36119976,1.15,"xpclr"
"chr1",36203977,0.901,"xpclr"
"chr1",36287977,1.552,"xpclr"
"chr1",36371977,1.745,"xpclr"
"chr1",36455978,1.352,"xpclr"
"chr1",36539978,1.259,"xpclr"
"chr1",36623978,1.448,"xpclr"
"chr1",36707979,1.072,"xpclr"
"chr1",36791979,0.926,"xpclr"
"chr1",36875980,1.176,"xpclr"
"chr1",36959980,1.195,"xpclr"
"chr1",37043980,1.655,"xpclr"
"chr1",37127981,3.605,"xpclr"
"chr1",37211981,3.345,"xpclr"
"chr1",37295981,2.721,"xpclr"
"chr1",37379982,5.145,"xpclr"
"chr1",37463982,4.333,"xpclr"
"chr1",37547982,5.599,"xpclr"
"chr1",37631983,2.112,"xpclr"
"chr1",37715983,1.359,"xpclr"
"chr1",37799983,0.759,"xpclr"
"chr1",37883984,1.059,"xpclr"
"chr1",37967984,0.743,"xpclr"
"chr1",38051984,0.966,"xpclr"
"chr1",38135985,0.956,"xpclr"
"chr1",38219985,1.437,"xpclr"
"chr1",38303985,1.258,"xpclr"
"chr1",38387986,1.306,"xpclr"
"chr1",38471986,0.942,"xpclr"
"chr1",38555986,0.804,"xpclr"
"chr1",38639987,1.168,"xpclr"
"chr1",38723987,1.471,"xpclr"
"chr1",38807987,1.095,"xpclr"
"chr1",38891988,1.369,"xpclr"
"chr1",38975988,0.868,"xpclr"
"chr1",39059988,1.168,"xpclr"
"chr1",39143989,1.292,"xpclr"
"chr1",39227989,2.527,"xpclr"
"chr1",39311989,3.474,"xpclr"
"chr1",39395990,3.949,"xpclr"
"chr1",39479990,6.133,"xpclr"
"chr1",39563990,3.284,"xpclr"
"chr1",39647991,4.526,"xpclr"
"chr1",39731991,4.569,"xpclr"
"chr1",39815991,5.648,"xpclr"
"chr1",39899992,6.881,"xpclr"
"chr1",39983992,10.136,"xpclr"
"chr1",40067992,9.16,"xpclr"
"chr1",40151993,9.804,"xpclr"
"chr1",40235993,13.579,"xpclr"
"chr1",40319993,8.045,"xpclr"
"chr1",40403994,7.258,"xpclr"
"chr1",40487994,7.037,"xpclr"
"chr1",40571994,6.95,"xpclr"
"chr1",40655995,11.157,"xpclr"
"chr1",40739995,12.366,"xpclr"
"chr1",40823995,9.264,"xpclr"
"chr1",40907996,5.194,"xpclr"
"chr1",40991996,6.549,"xpclr"
"chr1",41075996,7.691,"xpclr"
"chr1",41159997,7.118,"xpclr"
"chr1",41243997,7.065,"xpclr"
"chr1",41327997,14.352,"xpclr"
"chr1",41411998,11.77,"xpclr"
"chr1",41495998,20.738,"xpclr"
"chr1",41579998,12.489,"xpclr"
"chr1",41663999,19.993,"xpclr"
"chr1",41747999,9.938,"xpclr"
"chr1",41831999,8.772,"xpclr"
"chr1",41916000,9.724,"xpclr"
"chr1",4.2e+07,5.589,"xpclr"
"chr1",83832,0.214,"ihs"
"chr1",167833,0.413,"ihs"
"chr1",251833,0.542,"ihs"
"chr1",335833,0.53,"ihs"
"chr1",419834,0.205,"ihs"
"chr1",503834,0.18,"ihs"
"chr1",587834,0.357,"ihs"
"chr1",671835,0.421,"ihs"
"chr1",755835,0.244,"ihs"
"chr1",839835,0.086,"ihs"
"chr1",923836,0.457,"ihs"
"chr1",1007836,0.063,"ihs"
"chr1",1091836,0.551,"ihs"
"chr1",1175837,0.577,"ihs"
"chr1",1259837,0.514,"ihs"
"chr1",1343837,0.325,"ihs"
"chr1",1427838,0.576,"ihs"
"chr1",1511838,0.339,"ihs"
"chr1",1595838,0.777,"ihs"
"chr1",1679839,0.035,"ihs"
"chr1",1763839,1.413,"ihs"
"chr1",1847839,1.072,"ihs"
"chr1",1931840,0.113,"ihs"
"chr1",2015840,0.498,"ihs"
"chr1",2099840,0.591,"ihs"
"chr1",2183841,0.052,"ihs"
"chr1",2267841,0.138,"ihs"
"chr1",2351841,0.031,"ihs"
"chr1",2435842,0.867,"ihs"
"chr1",2519842,0.02,"ihs"
"chr1",2603842,0.02,"ihs"
"chr1",2687843,0.697,"ihs"
"chr1",2771843,0.08,"ihs"
"chr1",2855843,0.755,"ihs"
"chr1",2939844,0.132,"ihs"
"chr1",3023844,0.092,"ihs"
"chr1",3107844,0.8,"ihs"
"chr1",3191845,0.194,"ihs"
"chr1",3275845,0.628,"ihs"
"chr1",3359845,0.553,"ihs"
"chr1",3443846,0.22,"ihs"
"chr1",3527846,0.47,"ihs"
"chr1",3611846,0.084,"ihs"
"chr1",3695847,0.181,"ihs"
"chr1",3779847,0.617,"ihs"
"chr1",3863847,0.055,"ihs"
"chr1",3947848,0.501,"ihs"
"chr1",4031848,0.704,"ihs"
"chr1",4115848,0.57,"ihs"
"chr1",4199849,0.134,"ihs"
"chr1",4283849,0.024,"ihs"
"chr1",4367849,0.071,"ihs"
"chr1",4451850,0.37,"ihs"
"chr1",4535850,0.227,"ihs"
"chr1",4619850,0.412,"ihs"
"chr1",4703851,0.212,"ihs"
"chr1",4787851,0.501,"ihs"
"chr1",4871851,0.062,"ihs"
"chr1",4955852,0.473,"ihs"
"chr1",5039852,0.054,"ihs"
"chr1",5123852,0.056,"ihs"
"chr1",5207853,0.425,"ihs"
"chr1",5291853,0.072,"ihs"
"chr1",5375854,0.032,"ihs"
"chr1",5459854,0.326,"ihs"
"chr1",5543854,0.369,"ihs"
"chr1",5627855,0.546,"ihs"
"chr1",5711855,0.104,"ihs"
"chr1",5795855,0.598,"ihs"
"chr1",5879856,0.862,"ihs"
"chr1",5963856,0.308,"ihs"
"chr1",6047856,0.107,"ihs"
"chr1",6131857,0.36,"ihs"
"chr1",6215857,0.214,"ihs"
"chr1",6299857,0.899,"ihs"
"chr1",6383858,0.04,"ihs"
"chr1",6467858,0.255,"ihs"
"chr1",6551858,0.206,"ihs"
"chr1",6635859,0.198,"ihs"
"chr1",6719859,0.1,"ihs"
"chr1",6803859,0.633,"ihs"
"chr1",6887860,0.02,"ihs"
"chr1",6971860,0.094,"ihs"
"chr1",7055860,0.31,"ihs"
"chr1",7139861,0.857,"ihs"
"chr1",7223861,0.53,"ihs"
"chr1",7307861,0.163,"ihs"
"chr1",7391862,0.802,"ihs"
"chr1",7475862,0.663,"ihs"
"chr1",7559862,0.719,"ihs"
"chr1",7643863,0.577,"ihs"
"chr1",7727863,0.314,"ihs"
"chr1",7811863,0.662,"ihs"
"chr1",7895864,0.177,"ihs"
"chr1",7979864,0.789,"ihs"
"chr1",8063864,0.213,"ihs"
"chr1",8147865,0.124,"ihs"
"chr1",8231865,0.846,"ihs"
"chr1",8315865,0.515,"ihs"
"chr1",8399866,1.012,"ihs"
"chr1",8483866,0.297,"ihs"
"chr1",8567866,0.118,"ihs"
"chr1",8651867,0.768,"ihs"
"chr1",8735867,0.09,"ihs"
"chr1",8819867,0.126,"ihs"
"chr1",8903868,0.147,"ihs"
"chr1",8987868,0.361,"ihs"
"chr1",9071868,0.511,"ihs"
"chr1",9155869,0.138,"ihs"
"chr1",9239869,0.164,"ihs"
"chr1",9323869,0.606,"ihs"
"chr1",9407870,0.33,"ihs"
"chr1",9491870,0.534,"ihs"
"chr1",9575870,0.639,"ihs"
"chr1",9659871,0.314,"ihs"
"chr1",9743871,0.311,"ihs"
"chr1",9827871,0.948,"ihs"
"chr1",9911872,0.67,"ihs"
"chr1",9995872,0.566,"ihs"
"chr1",10079872,0.748,"ihs"
"chr1",10163873,0.66,"ihs"
"chr1",10247873,0.837,"ihs"
"chr1",10331873,0.987,"ihs"
"chr1",10415874,1.522,"ihs"
"chr1",10499874,1.01,"ihs"
"chr1",10583874,0.764,"ihs"
"chr1",10667875,0.711,"ihs"
"chr1",10751875,1.023,"ihs"
"chr1",10835875,0.285,"ihs"
"chr1",10919876,0.27,"ihs"
"chr1",11003876,1.121,"ihs"
"chr1",11087876,1.019,"ihs"
"chr1",11171877,0.389,"ihs"
"chr1",11255877,1.006,"ihs"
"chr1",11339877,1.366,"ihs"
"chr1",11423878,1.771,"ihs"
"chr1",11507878,1.481,"ihs"
"chr1",11591878,1.042,"ihs"
"chr1",11675879,1.211,"ihs"
"chr1",11759879,1.078,"ihs"
"chr1",11843879,2.07,"ihs"
"chr1",11927880,1.463,"ihs"
"chr1",12011880,0.327,"ihs"
"chr1",12095880,0.841,"ihs"
"chr1",12179881,0.967,"ihs"
"chr1",12263881,0.61,"ihs"
"chr1",12347881,1.048,"ihs"
"chr1",12431882,0.76,"ihs"
"chr1",12515882,0.308,"ihs"
"chr1",12599882,0.134,"ihs"
"chr1",12683883,0.179,"ihs"
"chr1",12767883,0.063,"ihs"
"chr1",12851883,0.058,"ihs"
"chr1",12935884,0.1,"ihs"
"chr1",13019884,0.387,"ihs"
"chr1",13103884,0.207,"ihs"
"chr1",13187885,0.589,"ihs"
"chr1",13271885,0.245,"ihs"
"chr1",13355885,0.758,"ihs"
"chr1",13439886,0.067,"ihs"
"chr1",13523886,0.082,"ihs"
"chr1",13607886,0.273,"ihs"
"chr1",13691887,0.408,"ihs"
"chr1",13775887,0.116,"ihs"
"chr1",13859887,0.6,"ihs"
"chr1",13943888,0.606,"ihs"
"chr1",14027888,0.64,"ihs"
"chr1",14111888,1.197,"ihs"
"chr1",14195889,0.597,"ihs"
"chr1",14279889,1.392,"ihs"
"chr1",14363889,1.334,"ihs"
"chr1",14447890,0.883,"ihs"
"chr1",14531890,0.827,"ihs"
"chr1",14615890,0.97,"ihs"
"chr1",14699891,0.982,"ihs"
"chr1",14783891,1.08,"ihs"
"chr1",14867891,1.192,"ihs"
"chr1",14951892,1.421,"ihs"
"chr1",15035892,2.016,"ihs"
"chr1",15119892,1.942,"ihs"
"chr1",15203893,1.928,"ihs"
"chr1",15287893,2.087,"ihs"
"chr1",15371893,2.198,"ihs"
"chr1",15455894,2.847,"ihs"
"chr1",15539894,2.928,"ihs"
"chr1",15623894,2.21,"ihs"
"chr1",15707895,2.488,"ihs"
"chr1",15791895,2.679,"ihs"
"chr1",15875896,2.874,"ihs"
"chr1",15959896,3.27,"ihs"
"chr1",16043896,2.836,"ihs"
"chr1",16127897,2.373,"ihs"
"chr1",16211897,2.871,"ihs"
"chr1",16295897,2.321,"ihs"
"chr1",16379898,2.591,"ihs"
"chr1",16463898,2.539,"ihs"
"chr1",16547898,2.626,"ihs"
"chr1",16631899,3.124,"ihs"
"chr1",16715899,2.877,"ihs"
"chr1",16799899,2.165,"ihs"
"chr1",16883900,2.392,"ihs"
"chr1",16967900,2.224,"ihs"
"chr1",17051900,2.282,"ihs"
"chr1",17135901,2.154,"ihs"
"chr1",17219901,1.888,"ihs"
"chr1",17303901,1.684,"ihs"
"chr1",17387902,0.818,"ihs"
"chr1",17471902,0.616,"ihs"
"chr1",17555902,0.755,"ihs"
"chr1",17639903,0.428,"ihs"
