"chr","start","end","feature","value"
"Chr5",21600000,23040000,"density",35.7
"Chr5",23040000,24480000,"density",35.26
"Chr5",24480000,25920000,"density",37.34
"Chr5",25920000,27360000,"density",33.78
"Chr5",27360000,28800000,"density",33.31
"Chr5",28800000,30240000,"density",36.36
"Chr5",30240000,31680000,"density",37.21
"Chr5",31680000,33120000,"density",34.66
"Chr5",33120000,34560000,"density",33.87
"Chr5",34560000,3.6e+07,"density",35.12
"Chr6",0,2.9e+07,"chromosome",NA
"Chr6",9650000,10650000,"centromere",NA
"Chr6",0,1160000,"density",37.33
"Chr6",1160000,2320000,"density",35.72
"Chr6",2320000,3480000,"density",36.99
"Chr6",3480000,4640000,"density",37.94
"Chr6",4640000,5800000,"density",37.43
"Chr6",5800000,6960000,"density",28.4
"Chr6",6960000,8120000,"density",22.02
"Chr6",8120000,9280000,"density",14.37
"Chr6",9280000,10440000,"density",7.5
"Chr6",10440000,11600000,"density",12.18
"Chr6",11600000,12760000,"density",20.95
"Chr6",12760000,13920000,"density",27.06
"Chr6",13920000,15080000,"density",33.84
"Chr6",15080000,16240000,"density",35.85
"Chr6",16240000,17400000,"density",38.12
"Chr6",17400000,18560000,"density",38.08
"Chr6",18560000,19720000,"density",33.91
"Chr6",19720000,20880000,"density",37.56
"Chr6",20880000,22040000,"density",35.88
"Chr6",22040000,23200000,"density",38.48
"Chr6",23200000,24360000,"density",37.44
"Chr6",24360000,25520000,"density",35.65
"Chr6",25520000,26680000,"density",36
"Chr6",26680000,27840000,"density",35.82
"Chr6",27840000,2.9e+07,"density",36.89
"Chr7",0,2.4e+07,"chromosome",NA
"Chr7",9150000,10050000,"centromere",NA
"Chr7",0,960000,"density",35.07
"Chr7",960000,1920000,"density",37.5
"Chr7",1920000,2880000,"density",37.21
"Chr7",2880000,3840000,"density",39.18
"Chr7",3840000,4800000,"density",36.05
"Chr7",4800000,5760000,"density",38.07
"Chr7",5760000,6720000,"density",31.66
"Chr7",6720000,7680000,"density",27.18
"Chr7",7680000,8640000,"density",18.86
"Chr7",8640000,9600000,"density",6.28
"Chr7",9600000,10560000,"density",11.78
"Chr7",10560000,11520000,"density",17.73
"Chr7",11520000,12480000,"density",25.81
"Chr7",12480000,13440000,"density",35
"Chr7",13440000,14400000,"density",36.66
"Chr7",14400000,15360000,"density",37.28
"Chr7",15360000,16320000,"density",33.07
"Chr7",16320000,17280000,"density",36.3
"Chr7",17280000,18240000,"density",34.91
"Chr7",18240000,19200000,"density",35.01
"Chr7",19200000,20160000,"density",35.47
"Chr7",20160000,21120000,"density",36.72
"Chr7",21120000,22080000,"density",33.8
"Chr7",22080000,23040000,"density",34.53
"Chr7",23040000,2.4e+07,"density",38.01
"Chr8",0,1.9e+07,"chromosome",NA
"Chr8",5870000,6670000,"centromere",NA
"Chr8",0,760000,"density",35.56
"Chr8",760000,1520000,"density",35.82
"Chr8",1520000,2280000,"density",33.76
"Chr8",2280000,3040000,"density",39.5
"Chr8",3040000,3800000,"density",33.52
"Chr8",3800000,4560000,"density",27.8
"Chr8",4560000,5320000,"density",17.29
"Chr8",5320000,6080000,"density",12.13
"Chr8",6080000,6840000,"density",9.42
"Chr8",6840000,7600000,"density",14.92
"Chr8",7600000,8360000,"density",19.77
"Chr8",8360000,9120000,"density",31.56
"Chr8",9120000,9880000,"density",35.02
"Chr8",9880000,10640000,"density",36.94
"Chr8",10640000,11400000,"density",35.48
"Chr8",11400000,12160000,"density",36.72
"Chr8",12160000,12920000,"density",38.57
"Chr8",12920000,13680000,"density",34.96
"Chr8",13680000,14440000,"density",35.5
"Chr8",14440000,15200000,"density",36.81
"Chr8",15200000,15960000,"density",37.4
"Chr8",15960000,16720000,"density",36.26
"Chr8",16720000,17480000,"density",37.68
"Chr8",17480000,18240000,"density",36.61
"Chr8",18240000,1.9e+07,"density",33.19
"Chr2",6130000,6830000,"nor",NA
"Chr6",2550000,3250000,"nor",NA
