"chr","pos","stat","value"
"chr1",8504791,"fst",0.1536
"chr1",8609791,"fst",0.2174
"chr1",8714792,"fst",0.2452
"chr1",8819793,"fst",0.2755
"chr1",8924793,"fst",0.1684
"chr1",9029794,"fst",0.133
"chr1",9134795,"fst",0.1539
"chr1",9239795,"fst",0.1162
"chr1",9344796,"fst",0.0998
"chr1",9449797,"fst",0.1277
"chr1",9554797,"fst",0.1676
"chr1",9659798,"fst",0.1045
"chr1",9764799,"fst",0.0812
"chr1",9869799,"fst",0.0746
"chr1",9974800,"fst",0.0853
"chr1",10079800,"fst",0.0865
"chr1",10184801,"fst",0.1198
"chr1",10289802,"fst",0.0747
"chr1",10394802,"fst",0.1605
"chr1",10499803,"fst",0.1517
"chr1",10604804,"fst",0.1548
"chr1",10709804,"fst",0.1061
"chr1",10814805,"fst",0.1324
"chr1",10919806,"fst",0.1769
"chr1",11024806,"fst",0.1456
"chr1",11129807,"fst",0.1789
"chr1",11234808,"fst",0.1946
"chr1",11339808,"fst",0.2053
"chr1",11444809,"fst",0.1731
"chr1",11549810,"fst",0.1646
"chr1",11654810,"fst",0.2199
"chr1",11759811,"fst",0.225
"chr1",11864812,"fst",0.2119
"chr1",11969812,"fst",0.1981
"chr1",12074813,"fst",0.2046
"chr1",12179814,"fst",0.1494
"chr1",12284814,"fst",0.1814
"chr1",12389815,"fst",0.2369
"chr1",12494816,"fst",0.2494
"chr1",12599816,"fst",0.2243
"chr1",12704817,"fst",0.1436
"chr1",12809818,"fst",0.167
"chr1",12914818,"fst",0.1236
"chr1",13019819,"fst",0.1312
"chr1",13124820,"fst",0.1134
"chr1",13229820,"fst",0.1424
"chr1",13334821,"fst",0.1358
"chr1",13439821,"fst",0.0963
"chr1",13544822,"fst",0.1612
"chr1",13649823,"fst",0.1293
"chr1",13754823,"fst",0.0502
"chr1",13859824,"fst",0.0606
"chr1",13964825,"fst",0.0567
"chr1",14069825,"fst",0.0398
"chr1",14174826,"fst",0.1035
"chr1",14279827,"fst",0.1045
"chr1",14384827,"fst",0.1124
"chr1",14489828,"fst",0.1444
"chr1",14594829,"fst",0.1261
"chr1",14699829,"fst",0.0651
"chr1",14804830,"fst",0.0496
"chr1",14909831,"fst",0.0265
"chr1",15014831,"fst",0.0396
"chr1",15119832,"fst",0.0385
"chr1",15224833,"fst",0.1082
"chr1",15329833,"fst",0.076
"chr1",15434834,"fst",0.0649
"chr1",15539835,"fst",0.0283
"chr1",15644835,"fst",0.0539
"chr1",15749836,"fst",0.046
"chr1",15854837,"fst",0.0926
"chr1",15959837,"fst",0.0882
"chr1",16064838,"fst",0.109
"chr1",16169839,"fst",0.0737
"chr1",16274839,"fst",0.0682
"chr1",16379840,"fst",0.0434
"chr1",16484841,"fst",0.1078
"chr1",16589841,"fst",0.1571
"chr1",16694842,"fst",0.1205
"chr1",16799842,"fst",0.0622
"chr1",16904843,"fst",0.0307
"chr1",17009844,"fst",0.0637
"chr1",17114844,"fst",0.089
"chr1",17219845,"fst",0.0317
"chr1",17324846,"fst",0.048
"chr1",17429846,"fst",0.0735
"chr1",17534847,"fst",0.1043
"chr1",17639848,"fst",0.1238
"chr1",17744848,"fst",0.1216
"chr1",17849849,"fst",0.1037
"chr1",17954850,"fst",0.0886
"chr1",18059850,"fst",0.0727
"chr1",18164851,"fst",0.1089
"chr1",18269852,"fst",0.101
"chr1",18374852,"fst",0.0362
"chr1",18479853,"fst",0.0966
"chr1",18584854,"fst",0.1194
"chr1",18689854,"fst",0.15
"chr1",18794855,"fst",0.1487
"chr1",18899856,"fst",0.0995
"chr1",19004856,"fst",0.087
"chr1",19109857,"fst",0.0558
"chr1",19214858,"fst",0.0512
"chr1",19319858,"fst",0.0683
"chr1",19424859,"fst",0.098
"chr1",19529860,"fst",0.087
"chr1",19634860,"fst",0.0725
"chr1",19739861,"fst",0.0728
"chr1",19844862,"fst",0.0307
"chr1",19949862,"fst",0.0374
"chr1",20054863,"fst",0.0898
"chr1",20159863,"fst",0.0329
"chr1",20264864,"fst",0
"chr1",20369865,"fst",0
"chr1",20474865,"fst",0
"chr1",20579866,"fst",0
"chr1",20684867,"fst",0
"chr1",20789867,"fst",0
"chr1",20894868,"fst",0.0022
"chr1",20999869,"fst",0.0155
"chr1",21104869,"fst",0.024
"chr1",21209870,"fst",0.0349
"chr1",21314871,"fst",0.0995
"chr1",21419871,"fst",0.0852
"chr1",21524872,"fst",0.0776
"chr1",21629873,"fst",0.0574
"chr1",21734873,"fst",0.0562
"chr1",21839874,"fst",0.0601
"chr1",21944875,"fst",0.032
"chr1",22049875,"fst",0.0056
"chr1",22154876,"fst",0
"chr1",22259877,"fst",0
"chr1",22364877,"fst",0
"chr1",22469878,"fst",0
"chr1",22574879,"fst",0
"chr1",22679879,"fst",0.0427
"chr1",22784880,"fst",0.0085
"chr1",22889881,"fst",0.0606
"chr1",22994881,"fst",0.1017
"chr1",23099882,"fst",0.1562
"chr1",23204883,"fst",0.1579
"chr1",23309883,"fst",0.1676
"chr1",23414884,"fst",0.1696
"chr1",23519884,"fst",0.1601
"chr1",23624885,"fst",0.1185
"chr1",23729886,"fst",0.0727
"chr1",23834886,"fst",0.1097
"chr1",23939887,"fst",0.1556
"chr1",24044888,"fst",0.1067
"chr1",24149888,"fst",0.1857
"chr1",24254889,"fst",0.1367
"chr1",24359890,"fst",0.1375
"chr1",24464890,"fst",0.1034
"chr1",24569891,"fst",0.1128
"chr1",24674892,"fst",0.0823
"chr1",24779892,"fst",0.0889
"chr1",24884893,"fst",0.0868
"chr1",24989894,"fst",0.1233
"chr1",25094894,"fst",0.1113
"chr1",25199895,"fst",0.122
"chr1",25304896,"fst",0.0867
"chr1",25409896,"fst",0.1161
"chr1",25514897,"fst",0.1124
"chr1",25619898,"fst",0.087
"chr1",25724898,"fst",0.1157
"chr1",25829899,"fst",0.0708
"chr1",25934900,"fst",0.0804
"chr1",26039900,"fst",0.0661
"chr1",26144901,"fst",0.0747
"chr1",26249902,"fst",0.0724
"chr1",26354902,"fst",0.073
"chr1",26459903,"fst",0.0614
"chr1",26564904,"fst",0
"chr1",26669904,"fst",0
"chr1",26774905,"fst",0
"chr1",26879905,"fst",0
"chr1",26984906,"fst",0.0119
"chr1",27089907,"fst",0.0738
"chr1",27194907,"fst",0.0527
"chr1",27299908,"fst",0.1363
"chr1",27404909,"fst",0.1778
"chr1",27509909,"fst",0.1113
"chr1",27614910,"fst",0.092
"chr1",27719911,"fst",0.0699
"chr1",27824911,"fst",0
"chr1",27929912,"fst",0
"chr1",28034913,"fst",0
"chr1",28139913,"fst",0
"chr1",28244914,"fst",0
"chr1",28349915,"fst",0
"chr1",28454915,"fst",0.014
"chr1",28559916,"fst",0.0654
"chr1",28664917,"fst",0.0904
"chr1",28769917,"fst",0.0509
"chr1",28874918,"fst",0.1743
"chr1",28979919,"fst",0.1711
"chr1",29084919,"fst",0.1759
"chr1",29189920,"fst",0.185
"chr1",29294921,"fst",0.1793
"chr1",29399921,"fst",0.2397
"chr1",29504922,"fst",0.2186
"chr1",29609923,"fst",0.2249
"chr1",29714923,"fst",0.2954
"chr1",29819924,"fst",0.2919
"chr1",29924925,"fst",0.2542
"chr1",30029925,"fst",0.2827
"chr1",30134926,"fst",0.3245
"chr1",30239926,"fst",0.3307
"chr1",30344927,"fst",0.369
"chr1",30449928,"fst",0.3448
"chr1",30554928,"fst",0.2553
"chr1",30659929,"fst",0.2475
"chr1",30764930,"fst",0.2175
"chr1",30869930,"fst",0.195
"chr1",30974931,"fst",0.1902
"chr1",31079932,"fst",0.2122
"chr1",31184932,"fst",0.2288
"chr1",31289933,"fst",0.1569
"chr1",31394934,"fst",0.0935
"chr1",31499934,"fst",0.0744
"chr1",31604935,"fst",0.051
"chr1",31709936,"fst",0.0374
"chr1",31814936,"fst",0.0815
"chr1",31919937,"fst",0.0535
"chr1",32024938,"fst",0.0812
"chr1",32129938,"fst",0.0969
"chr1",32234939,"fst",0.0842
"chr1",32339940,"fst",0.0982
"chr1",32444940,"fst",0.1323
"chr1",32549941,"fst",0.1253
"chr1",32654942,"fst",0.1385
"chr1",32759942,"fst",0.1894
"chr1",32864943,"fst",0.1725
"chr1",32969944,"fst",0.192
"chr1",33074944,"fst",0.1795
"chr1",33179945,"fst",0.1888
"chr1",33284946,"fst",0.1921
"chr1",33389946,"fst",0.1492
"chr1",33494947,"fst",0.1518
"chr1",33599947,"fst",0.1929
"chr1",33704948,"fst",0.1959
"chr1",33809949,"fst",0.1658
"chr1",33914949,"fst",0.2227
"chr1",34019950,"fst",0.2668
"chr1",34124951,"fst",0.2481
"chr1",34229951,"fst",0.249
"chr1",34334952,"fst",0.2277
"chr1",34439953,"fst",0.2624
"chr1",34544953,"fst",0.3363
"chr1",34649954,"fst",0.3239
"chr1",34754955,"fst",0.2729
"chr1",34859955,"fst",0.3187
"chr1",34964956,"fst",0.2486
"chr1",35069957,"fst",0.2647
"chr1",35174957,"fst",0.2324
"chr1",35279958,"fst",0.1898
"chr1",35384959,"fst",0.2216
"chr1",35489959,"fst",0.2324
"chr1",35594960,"fst",0.2432
"chr1",35699961,"fst",0.2007
"chr1",35804961,"fst",0.2255
"chr1",35909962,"fst",0.2355
"chr1",36014963,"fst",0.1849
"chr1",36119963,"fst",0.1681
"chr1",36224964,"fst",0.1168
"chr1",36329965,"fst",0.1104
"chr1",36434965,"fst",0.1436
"chr1",36539966,"fst",0.1093
"chr1",36644967,"fst",0.1061
"chr1",36749967,"fst",0.1245
"chr1",36854968,"fst",0.1029
"chr1",36959968,"fst",0.0619
"chr1",37064969,"fst",0.0032
"chr1",37169970,"fst",0
"chr1",37274970,"fst",0.0246
"chr1",37379971,"fst",0
"chr1",37484972,"fst",0
"chr1",37589972,"fst",0
"chr1",37694973,"fst",0
"chr1",37799974,"fst",0
"chr1",37904974,"fst",0
"chr1",38009975,"fst",0.0336
"chr1",38114976,"fst",0.0064
"chr1",38219976,"fst",0
"chr1",38324977,"fst",0.002
"chr1",38429978,"fst",0
"chr1",38534978,"fst",0.04
"chr1",38639979,"fst",0.0139
"chr1",38744980,"fst",0.0358
"chr1",38849980,"fst",0.0345
"chr1",38954981,"fst",0.0945
"chr1",39059982,"fst",0.066
"chr1",39164982,"fst",0.0769
"chr1",39269983,"fst",0.0105
"chr1",39374984,"fst",0.0371
"chr1",39479984,"fst",0.0505
"chr1",39584985,"fst",0.0167
"chr1",39689986,"fst",0.0397
"chr1",39794986,"fst",0.0381
"chr1",39899987,"fst",0.0382
"chr1",40004988,"fst",0.0348
"chr1",40109988,"fst",0.0502
"chr1",40214989,"fst",0.0427
"chr1",40319989,"fst",0.0527
"chr1",40424990,"fst",0.0023
"chr1",40529991,"fst",0.0529
"chr1",40634991,"fst",0.0622
"chr1",40739992,"fst",0.0607
"chr1",40844993,"fst",0.0603
"chr1",40949993,"fst",0.1058
"chr1",41054994,"fst",0.0945
"chr1",41159995,"fst",0.1126
"chr1",41264995,"fst",0.098
"chr1",41369996,"fst",0.0544
"chr1",41474997,"fst",0.0779
"chr1",41579997,"fst",0.0682
"chr1",41684998,"fst",0.0836
"chr1",41789999,"fst",0.0847
"chr1",41894999,"fst",0.0734
"chr1",4.2e+07,"fst",0.0374
"chr1",104738,"pi",4.0094
"chr1",209739,"pi",4.3775
"chr1",314739,"pi",4.7102
"chr1",419740,"pi",4.4771
"chr1",524741,"pi",5.0257
"chr1",629741,"pi",5.1027
"chr1",734742,"pi",4.961
"chr1",839743,"pi",5.6661
"chr1",944743,"pi",5.8114
"chr1",1049744,"pi",5.3187
"chr1",1154745,"pi",5.6965
"chr1",1259745,"pi",5.3708
"chr1",1364746,"pi",5.5384
"chr1",1469747,"pi",5.2825
"chr1",1574747,"pi",5.065
"chr1",1679748,"pi",4.8238
"chr1",1784749,"pi",5.404
"chr1",1889749,"pi",4.3561
"chr1",1994750,"pi",3.6757
"chr1",2099751,"pi",3.4426
"chr1",2204751,"pi",3.2304
"chr1",2309752,"pi",3.2654
"chr1",2414753,"pi",3.091
"chr1",2519753,"pi",2.3636
"chr1",2624754,"pi",3.0547
"chr1",2729755,"pi",2.824
"chr1",2834755,"pi",2.339
"chr1",2939756,"pi",3.0055
"chr1",3044757,"pi",2.4406
"chr1",3149757,"pi",2.4914
"chr1",3254758,"pi",3.4136
"chr1",3359758,"pi",2.9323
"chr1",3464759,"pi",2.7382
"chr1",3569760,"pi",2.8345
"chr1",3674760,"pi",3.3243
"chr1",3779761,"pi",3.3915
"chr1",3884762,"pi",3.1453
"chr1",3989762,"pi",3.4626
"chr1",4094763,"pi",4.1631
"chr1",4199764,"pi",3.7213
"chr1",4304764,"pi",3.5678
"chr1",4409765,"pi",4.2802
"chr1",4514766,"pi",3.7102
"chr1",4619766,"pi",4.3082
"chr1",4724767,"pi",4.3733
"chr1",4829768,"pi",3.8343
"chr1",4934768,"pi",3.3624
"chr1",5039769,"pi",3.9601
"chr1",5144770,"pi",4.1918
"chr1",5249770,"pi",4.3649
"chr1",5354771,"pi",4.9409
"chr1",5459772,"pi",4.9664
"chr1",5564772,"pi",4.5707
"chr1",5669773,"pi",4.7233
"chr1",5774774,"pi",5.558
"chr1",5879774,"pi",5.4069
"chr1",5984775,"pi",5.678
"chr1",6089776,"pi",4.7519
"chr1",6194776,"pi",4.3509
"chr1",6299777,"pi",4.2163
"chr1",6404778,"pi",3.8412
"chr1",6509778,"pi",3.9209
"chr1",6614779,"pi",3.4547
"chr1",6719779,"pi",3.7082
"chr1",6824780,"pi",3.362
"chr1",6929781,"pi",4.3448
"chr1",7034781,"pi",4.4208
"chr1",7139782,"pi",5.215
"chr1",7244783,"pi",4.9566
"chr1",7349783,"pi",5.4749
"chr1",7454784,"pi",5.7674
"chr1",7559785,"pi",5.4366
"chr1",7664785,"pi",5.1446
"chr1",7769786,"pi",5.5747
"chr1",7874787,"pi",5.4677
"chr1",7979787,"pi",5.4336
"chr1",8084788,"pi",4.8146
"chr1",8189789,"pi",4.4844
"chr1",8294789,"pi",5.3043
"chr1",8399790,"pi",5.2729
"chr1",8504791,"pi",5.1993
"chr1",8609791,"pi",6.2019
"chr1",8714792,"pi",6.6387
"chr1",8819793,"pi",7.1153
"chr1",8924793,"pi",5.4313
"chr1",9029794,"pi",4.876
"chr1",9134795,"pi",5.2044
"chr1",9239795,"pi",4.6119
"chr1",9344796,"pi",4.3533
"chr1",9449797,"pi",4.7921
"chr1",9554797,"pi",5.4192
"chr1",9659798,"pi",4.428
"chr1",9764799,"pi",4.0612
"chr1",9869799,"pi",3.9579
"chr1",9974800,"pi",4.1259
"chr1",10079800,"pi",4.1447
"chr1",10184801,"pi",4.6684
"chr1",10289802,"pi",3.9596
"chr1",10394802,"pi",5.3076
"chr1",10499803,"pi",5.17
"chr1",10604804,"pi",5.2185
"chr1",10709804,"pi",4.4525
"chr1",10814805,"pi",4.8662
"chr1",10919806,"pi",5.5661
"chr1",11024806,"pi",5.0744
"chr1",11129807,"pi",5.5977
"chr1",11234808,"pi",5.8443
"chr1",11339808,"pi",6.0116
"chr1",11444809,"pi",5.5052
"chr1",11549810,"pi",5.3716
"chr1",11654810,"pi",6.2415
"chr1",11759811,"pi",6.3218
"chr1",11864812,"pi",6.1155
"chr1",11969812,"pi",5.8983
"chr1",12074813,"pi",6.0016
"chr1",12179814,"pi",5.1327
"chr1",12284814,"pi",5.6358
"chr1",12389815,"pi",6.5087
"chr1",12494816,"pi",6.7045
"chr1",12599816,"pi",6.3109
"chr1",12704817,"pi",5.0421
"chr1",12809818,"pi",5.4093
"chr1",12914818,"pi",4.7277
"chr1",13019819,"pi",4.8475
"chr1",13124820,"pi",4.5672
"chr1",13229820,"pi",5.0228
"chr1",13334821,"pi",4.9197
"chr1",13439821,"pi",4.2987
"chr1",13544822,"pi",5.3188
"chr1",13649823,"pi",4.8177
"chr1",13754823,"pi",3.5741
"chr1",13859824,"pi",3.7388
"chr1",13964825,"pi",3.6775
"chr1",14069825,"pi",3.4115
"chr1",14174826,"pi",4.4124
"chr1",14279827,"pi",4.4278
"chr1",14384827,"pi",4.552
"chr1",14489828,"pi",5.0544
"chr1",14594829,"pi",4.7669
"chr1",14699829,"pi",3.8095
"chr1",14804830,"pi",3.5651
"chr1",14909831,"pi",3.2018
"chr1",15014831,"pi",3.4087
"chr1",15119832,"pi",3.3905
"chr1",15224833,"pi",4.4855
"chr1",15329833,"pi",3.9795
"chr1",15434834,"pi",3.8058
"chr1",15539835,"pi",3.2297
"chr1",15644835,"pi",3.6334
"chr1",15749836,"pi",3.5082
"chr1",15854837,"pi",4.2407
"chr1",15959837,"pi",4.1718
"chr1",16064838,"pi",4.4986
"chr1",16169839,"pi",3.9435
"chr1",16274839,"pi",3.8576
"chr1",16379840,"pi",3.4669
"chr1",16484841,"pi",4.4793
"chr1",16589841,"pi",5.2539
"chr1",16694842,"pi",4.6793
"chr1",16799842,"pi",3.7627
"chr1",16904843,"pi",3.2683
"chr1",17009844,"pi",3.7872
"chr1",17114844,"pi",4.1843
"chr1",17219845,"pi",3.2843
"chr1",17324846,"pi",3.5398
"chr1",17429846,"pi",3.9402
"chr1",17534847,"pi",4.4254
"chr1",17639848,"pi",4.7312
"chr1",17744848,"pi",4.697
"chr1",17849849,"pi",4.4151
"chr1",17954850,"pi",4.1775
"chr1",18059850,"pi",3.9285
"chr1",18164851,"pi",4.4964
"chr1",18269852,"pi",4.3732
"chr1",18374852,"pi",3.355
"chr1",18479853,"pi",4.3045
"chr1",18584854,"pi",4.6621
"chr1",18689854,"pi",5.1432
"chr1",18794855,"pi",5.122
"chr1",18899856,"pi",4.3488
"chr1",19004856,"pi",4.1532
"chr1",19109857,"pi",3.6633
"chr1",19214858,"pi",3.5909
"chr1",19319858,"pi",3.8589
"chr1",19424859,"pi",4.326
"chr1",19529860,"pi",4.1528
"chr1",19634860,"pi",3.9246
"chr1",19739861,"pi",3.93
"chr1",19844862,"pi",3.2679
"chr1",19949862,"pi",3.3733
"chr1",20054863,"pi",4.1971
"chr1",20159863,"pi",3.3027
"chr1",20264864,"pi",2.7425
"chr1",20369865,"pi",1.6956
"chr1",20474865,"pi",1.4262
"chr1",20579866,"pi",2.3765
"chr1",20684867,"pi",2.2915
"chr1",20789867,"pi",2.7662
"chr1",20894868,"pi",2.821
"chr1",20999869,"pi",3.0296
"chr1",21104869,"pi",3.1622
"chr1",21209870,"pi",3.3349
"chr1",21314871,"pi",4.3488
"chr1",21419871,"pi",4.125
"chr1",21524872,"pi",4.0053
"chr1",21629873,"pi",3.6875
"chr1",21734873,"pi",3.6686
"chr1",21839874,"pi",3.7298
"chr1",21944875,"pi",3.2884
"chr1",22049875,"pi",2.8743
"chr1",22154876,"pi",2.5385
"chr1",22259877,"pi",2.2203
"chr1",22364877,"pi",2.5544
"chr1",22469878,"pi",2.7443
"chr1",22574879,"pi",2.6129
"chr1",22679879,"pi",3.4575
"chr1",22784880,"pi",2.919
"chr1",22889881,"pi",3.7376
"chr1",22994881,"pi",4.384
"chr1",23099882,"pi",5.2406
"chr1",23204883,"pi",5.2663
"chr1",23309883,"pi",5.4201
"chr1",23414884,"pi",5.4503
"chr1",23519884,"pi",5.3008
"chr1",23624885,"pi",4.6473
"chr1",23729886,"pi",3.9287
"chr1",23834886,"pi",4.5093
"chr1",23939887,"pi",5.2302
"chr1",24044888,"pi",4.4624
"chr1",24149888,"pi",5.7045
"chr1",24254889,"pi",4.9342
"chr1",24359890,"pi",4.9459
"chr1",24464890,"pi",4.4099
"chr1",24569891,"pi",4.5581
"chr1",24674892,"pi",4.079
"chr1",24779892,"pi",4.183
"chr1",24884893,"pi",4.1491
"chr1",24989894,"pi",4.7229
"chr1",25094894,"pi",4.5342
"chr1",25199895,"pi",4.7032
"chr1",25304896,"pi",4.1489
"chr1",25409896,"pi",4.6104
"chr1",25514897,"pi",4.5519
"chr1",25619898,"pi",4.1525
"chr1",25724898,"pi",4.6044
"chr1",25829899,"pi",3.8977
"chr1",25934900,"pi",4.0487
"chr1",26039900,"pi",3.8236
"chr1",26144901,"pi",3.9588
"chr1",26249902,"pi",3.9235
"chr1",26354902,"pi",3.9327
"chr1",26459903,"pi",3.7499
"chr1",26564904,"pi",2.4439
"chr1",26669904,"pi",2.2142
"chr1",26774905,"pi",2.4318
"chr1",26879905,"pi",2.7302
"chr1",26984906,"pi",2.9676
"chr1",27089907,"pi",3.9368
"chr1",27194907,"pi",3.601
"chr1",27299908,"pi",4.9099
"chr1",27404909,"pi",5.5538
"chr1",27509909,"pi",4.4956
"chr1",27614910,"pi",4.1769
"chr1",27719911,"pi",3.8077
"chr1",27824911,"pi",2.2736
"chr1",27929912,"pi",1.9057
"chr1",28034913,"pi",1.3062
"chr1",28139913,"pi",1.3498
"chr1",28244914,"pi",1.7942
"chr1",28349915,"pi",1.688
"chr1",28454915,"pi",2.4726
"chr1",28559916,"pi",3.1458
"chr1",28664917,"pi",3.381
"chr1",28769917,"pi",2.5808
"chr1",28874918,"pi",4.3176
"chr1",28979919,"pi",4.0428
"chr1",29084919,"pi",3.876
"chr1",29189920,"pi",3.7617
"chr1",29294921,"pi",3.4061
"chr1",29399921,"pi",4.0846
"chr1",29504922,"pi",3.488
"chr1",29609923,"pi",3.3348
"chr1",29714923,"pi",4.2096
"chr1",29819924,"pi",3.9517
"chr1",29924925,"pi",3.1934
"chr1",30029925,"pi",3.5161
"chr1",30134926,"pi",4.0967
"chr1",30239926,"pi",4.1676
"chr1",30344927,"pi",4.7953
"chr1",30449928,"pi",4.4926
"chr1",30554928,"pi",3.2101
"chr1",30659929,"pi",3.2541
"chr1",30764930,"pi",2.9866
"chr1",30869930,"pi",2.865
"chr1",30974931,"pi",3.0423
"chr1",31079932,"pi",3.6519
"chr1",31184932,"pi",4.1834
"chr1",31289933,"pi",3.3192
"chr1",31394934,"pi",2.5812
"chr1",31499934,"pi",2.5233
"chr1",31604935,"pi",2.3791
"chr1",31709936,"pi",2.3682
"chr1",31814936,"pi",3.2411
"chr1",31919937,"pi",2.9586
"chr1",32024938,"pi",3.5285
"chr1",32129938,"pi",3.8872
"chr1",32234939,"pi",3.7815
"chr1",32339940,"pi",4.0775
"chr1",32444940,"pi",4.6743
"chr1",32549941,"pi",4.6133
"chr1",32654942,"pi",4.8584
"chr1",32759942,"pi",5.6868
"chr1",32864943,"pi",5.4419
"chr1",32969944,"pi",5.7648
"chr1",33074944,"pi",5.58
"chr1",33179945,"pi",5.7341
"chr1",33284946,"pi",5.7912
"chr1",33389946,"pi",5.1212
"chr1",33494947,"pi",5.1658
"chr1",33599947,"pi",5.8127
"chr1",33704948,"pi",5.8612
"chr1",33809949,"pi",5.3895
"chr1",33914949,"pi",6.2845
"chr1",34019950,"pi",6.9784
"chr1",34124951,"pi",6.6842
"chr1",34229951,"pi",6.6989
"chr1",34334952,"pi",6.3636
"chr1",34439953,"pi",6.9091
"chr1",34544953,"pi",8
"chr1",34649954,"pi",7.8754
"chr1",34754955,"pi",7.074
"chr1",34859955,"pi",7.7936
"chr1",34964956,"pi",6.6915
"chr1",35069957,"pi",6.9449
"chr1",35174957,"pi",6.4378
"chr1",35279958,"pi",5.7681
"chr1",35384959,"pi",6.268
"chr1",35489959,"pi",6.4385
"chr1",35594960,"pi",6.6074
"chr1",35699961,"pi",5.9396
"chr1",35804961,"pi",6.329
"chr1",35909962,"pi",6.4868
"chr1",36014963,"pi",5.6913
"chr1",36119963,"pi",5.428
"chr1",36224964,"pi",4.6219
"chr1",36329965,"pi",4.5202
"chr1",36434965,"pi",5.0424
"chr1",36539966,"pi",4.5035
"chr1",36644967,"pi",4.4534
"chr1",36749967,"pi",4.7418
"chr1",36854968,"pi",4.4024
"chr1",36959968,"pi",3.7591
"chr1",37064969,"pi",2.8361
"chr1",37169970,"pi",1.8595
"chr1",37274970,"pi",3.1726
"chr1",37379971,"pi",2.6171
"chr1",37484972,"pi",2.465
"chr1",37589972,"pi",2.1974
"chr1",37694973,"pi",1.888
"chr1",37799974,"pi",2.1849
"chr1",37904974,"pi",2.1927
"chr1",38009975,"pi",3.3134
"chr1",38114976,"pi",2.8868
"chr1",38219976,"pi",2.6024
"chr1",38324977,"pi",2.8173
"chr1",38429978,"pi",2.3881
"chr1",38534978,"pi",3.4143
"chr1",38639979,"pi",3.0035
"chr1",38744980,"pi",3.3485
"chr1",38849980,"pi",3.3285
"chr1",38954981,"pi",4.2712
"chr1",39059982,"pi",3.8231
"chr1",39164982,"pi",3.9941
"chr1",39269983,"pi",2.9503
"chr1",39374984,"pi",3.368
"chr1",39479984,"pi",3.5793
"chr1",39584985,"pi",3.0475
"chr1",39689986,"pi",3.4097
"chr1",39794986,"pi",3.3848
"chr1",39899987,"pi",3.3854
"chr1",40004988,"pi",3.3329
"chr1",40109988,"pi",3.5747
"chr1",40214989,"pi",3.4571
"chr1",40319989,"pi",3.6138
"chr1",40424990,"pi",2.8222
"chr1",40529991,"pi",3.6165
"chr1",40634991,"pi",3.7638
