"bin_i","bin_j","chr","count"
12,42,"Chr1",4
12,43,"Chr1",1
12,44,"Chr1",1
12,45,"Chr1",4
12,46,"Chr1",7
12,47,"Chr1",6
12,48,"Chr1",6
12,49,"Chr1",14
12,50,"Chr1",15
12,51,"Chr1",24
12,52,"Chr1",19
12,53,"Chr1",30
12,54,"Chr1",31
12,55,"Chr1",30
12,56,"Chr1",27
12,57,"Chr1",18
12,58,"Chr1",14
12,59,"Chr1",15
12,60,"Chr1",2
12,61,"Chr1",8
12,62,"Chr1",4
12,63,"Chr1",5
12,64,"Chr1",7
12,65,"Chr1",5
12,66,"Chr1",10
12,67,"Chr1",14
12,68,"Chr1",20
12,69,"Chr1",18
12,70,"Chr1",26
12,71,"Chr1",20
12,72,"Chr1",42
12,73,"Chr1",22
12,74,"Chr1",28
12,75,"Chr1",23
12,76,"Chr1",8
12,77,"Chr1",9
12,78,"Chr1",11
12,79,"Chr1",12
12,80,"Chr1",3
13,1,"Chr1",53
13,2,"Chr1",56
13,3,"Chr1",56
13,4,"Chr1",66
13,5,"Chr1",58
13,6,"Chr1",95
13,7,"Chr1",102
13,8,"Chr1",120
13,9,"Chr1",494
13,10,"Chr1",1007
13,11,"Chr1",1691
13,12,"Chr1",3164
13,13,"Chr1",6412
13,14,"Chr1",2744
13,15,"Chr1",1357
13,16,"Chr1",667
13,17,"Chr1",150
13,18,"Chr1",105
13,19,"Chr1",83
13,20,"Chr1",92
13,21,"Chr1",63
13,22,"Chr1",59
13,23,"Chr1",73
13,24,"Chr1",49
13,25,"Chr1",2
13,26,"Chr1",5
13,27,"Chr1",7
13,28,"Chr1",6
13,29,"Chr1",15
13,30,"Chr1",19
13,31,"Chr1",21
13,32,"Chr1",20
13,33,"Chr1",28
13,34,"Chr1",21
13,35,"Chr1",26
13,36,"Chr1",30
13,37,"Chr1",18
13,38,"Chr1",16
13,39,"Chr1",9
13,40,"Chr1",7
13,41,"Chr1",3
13,42,"Chr1",8
13,43,"Chr1",4
13,44,"Chr1",2
13,45,"Chr1",3
13,46,"Chr1",6
13,47,"Chr1",5
13,48,"Chr1",9
13,49,"Chr1",7
13,50,"Chr1",21
13,51,"Chr1",22
13,52,"Chr1",21
13,53,"Chr1",20
13,54,"Chr1",38
13,55,"Chr1",40
13,56,"Chr1",32
13,57,"Chr1",22
13,58,"Chr1",9
13,59,"Chr1",7
13,60,"Chr1",6
13,61,"Chr1",7
13,62,"Chr1",7
13,63,"Chr1",7
13,64,"Chr1",3
13,65,"Chr1",6
13,66,"Chr1",10
13,67,"Chr1",11
13,68,"Chr1",17
13,69,"Chr1",15
13,70,"Chr1",14
13,71,"Chr1",26
13,72,"Chr1",28
13,73,"Chr1",24
13,74,"Chr1",23
13,75,"Chr1",17
13,76,"Chr1",17
13,77,"Chr1",8
13,78,"Chr1",7
13,79,"Chr1",7
13,80,"Chr1",5
14,1,"Chr1",38
14,2,"Chr1",54
14,3,"Chr1",57
14,4,"Chr1",57
14,5,"Chr1",71
14,6,"Chr1",70
14,7,"Chr1",91
14,8,"Chr1",107
14,9,"Chr1",381
14,10,"Chr1",694
14,11,"Chr1",1132
14,12,"Chr1",1751
14,13,"Chr1",2744
14,14,"Chr1",5036
14,15,"Chr1",1896
14,16,"Chr1",799
14,17,"Chr1",149
14,18,"Chr1",130
14,19,"Chr1",104
14,20,"Chr1",90
14,21,"Chr1",68
14,22,"Chr1",82
14,23,"Chr1",49
14,24,"Chr1",75
14,25,"Chr1",1
14,26,"Chr1",5
14,27,"Chr1",6
14,28,"Chr1",6
14,29,"Chr1",11
14,30,"Chr1",17
14,31,"Chr1",13
14,32,"Chr1",17
14,33,"Chr1",23
14,34,"Chr1",32
14,35,"Chr1",31
14,36,"Chr1",20
14,37,"Chr1",12
14,38,"Chr1",9
14,39,"Chr1",6
14,40,"Chr1",11
14,41,"Chr1",3
14,42,"Chr1",2
14,43,"Chr1",4
14,44,"Chr1",3
14,45,"Chr1",2
14,46,"Chr1",1
14,47,"Chr1",4
14,48,"Chr1",4
14,49,"Chr1",13
14,50,"Chr1",11
14,51,"Chr1",11
14,52,"Chr1",18
14,53,"Chr1",20
14,54,"Chr1",23
14,55,"Chr1",21
14,56,"Chr1",21
14,57,"Chr1",16
14,58,"Chr1",15
14,59,"Chr1",8
14,60,"Chr1",6
14,61,"Chr1",2
14,62,"Chr1",6
14,63,"Chr1",2
14,64,"Chr1",4
14,65,"Chr1",4
14,66,"Chr1",6
14,67,"Chr1",8
14,68,"Chr1",9
14,69,"Chr1",19
14,70,"Chr1",23
14,71,"Chr1",22
14,72,"Chr1",19
14,73,"Chr1",19
14,74,"Chr1",13
14,75,"Chr1",15
14,76,"Chr1",12
14,77,"Chr1",8
14,78,"Chr1",4
14,79,"Chr1",7
14,80,"Chr1",3
15,1,"Chr1",54
15,2,"Chr1",40
15,3,"Chr1",58
15,4,"Chr1",65
15,5,"Chr1",49
15,6,"Chr1",75
15,7,"Chr1",82
15,8,"Chr1",96
15,9,"Chr1",269
15,10,"Chr1",462
15,11,"Chr1",690
15,12,"Chr1",939
15,13,"Chr1",1357
15,14,"Chr1",1896
15,15,"Chr1",3033
15,16,"Chr1",1060
15,17,"Chr1",163
15,18,"Chr1",135
15,19,"Chr1",103
15,20,"Chr1",97
15,21,"Chr1",82
15,22,"Chr1",105
15,23,"Chr1",77
15,24,"Chr1",61
15,25,"Chr1",1
15,26,"Chr1",3
15,27,"Chr1",6
15,28,"Chr1",7
15,29,"Chr1",10
15,30,"Chr1",12
15,31,"Chr1",18
15,32,"Chr1",17
15,33,"Chr1",18
15,34,"Chr1",32
15,35,"Chr1",17
15,36,"Chr1",16
15,37,"Chr1",14
15,38,"Chr1",12
