"genome","chr","start","end","block","identity"
"B","B1",14389819,14389819,"B01",84.53
"A","A1",13211299,13211299,"B01",80.89
"B","B1",12493311,12493311,"B01",80.89
"A","A1",11596625,11596625,"B01",85.82
"B","B1",10897287,10897287,"B01",85.82
"A","A1",15142079,15142079,"B01",83.66
"B","B1",14948414,14948414,"B01",83.66
"A","A1",13618037,13618037,"B01",86.67
"B","B1",13040158,13040158,"B01",86.67
"A","A1",17379025,17379025,"B01",85.47
"B","B1",16740046,16740046,"B01",85.47
"A","A1",14910802,14910802,"B01",84.95
"B","B1",14194896,14194896,"B01",84.95
"A","A1",12604237,12604237,"B01",83.64
"B","B1",12219641,12219641,"B01",83.64
"A","A1",12424212,12424212,"B01",83.1
"B","B1",11956579,11956579,"B01",83.1
"A","A1",20453377,20453377,"B01",86.36
"B","B1",20568661,20568661,"B01",86.36
"A","A1",12581476,12581476,"B01",81.05
"B","B1",11728905,11728905,"B01",81.05
"A","A1",15571447,15571447,"B01",91.22
"B","B1",15369552,15369552,"B01",91.22
"A","A1",12014358,12014358,"B01",86.35
"B","B1",11568038,11568038,"B01",86.35
"A","A1",18292135,18292135,"B01",88.29
"B","B1",18562110,18562110,"B01",88.29
"A","A1",13834143,13834143,"B01",88.48
"B","B1",13545258,13545258,"B01",88.48
"A","A1",17905304,17905304,"B01",83.24
"B","B1",18395498,18395498,"B01",83.24
"A","A1",14293818,14293818,"B01",84.41
"B","B1",13883279,13883279,"B01",84.41
"A","A1",17257649,17257649,"B01",84.69
"B","B1",17097732,17097732,"B01",84.69
"A","A1",15682304,15682304,"B01",85.78
"B","B1",15645588,15645588,"B01",85.78
"A","A1",16411906,16411906,"B01",87.71
"B","B1",16066990,16066990,"B01",87.71
"A","A1",15340357,15340357,"B01",83.22
"B","B1",15353388,15353388,"B01",83.22
"A","A1",15509244,15509244,"B01",85.18
"B","B1",14616492,14616492,"B01",85.18
"A","A1",23096710,23096710,"B02",92.33
"B","B1",21638247,21638247,"B02",92.33
"A","A1",19860023,19860023,"B02",92.95
"B","B1",18513247,18513247,"B02",92.95
"A","A1",21786906,21786906,"B02",98.45
"B","B1",20302003,20302003,"B02",98.45
"A","A1",20192380,20192380,"B02",96.86
"B","B1",18670865,18670865,"B02",96.86
"A","A1",25658337,25658337,"B02",95.5
"B","B1",24210318,24210318,"B02",95.5
"A","A1",22031701,22031701,"B02",95.53
"B","B1",19994717,19994717,"B02",95.53
"A","A1",24062110,24062110,"B02",94.21
"B","B1",21941089,21941089,"B02",94.21
"A","A1",24550449,24550449,"B02",93.67
"B","B1",22244440,22244440,"B02",93.67
"A","A1",26396929,26396929,"B02",95.82
"B","B1",24887427,24887427,"B02",95.82
"A","A1",19785220,19785220,"B02",94.05
"B","B1",18144818,18144818,"B02",94.05
"A","A1",24501450,24501450,"B02",93.42
"B","B1",22424854,22424854,"B02",93.42
"A","A1",23700279,23700279,"B02",94.84
"B","B1",21666062,21666062,"B02",94.84
"A","A1",24622137,24622137,"B02",95.64
"B","B1",22325043,22325043,"B02",95.64
"A","A1",24687785,24687785,"B02",92.06
"B","B1",22891019,22891019,"B02",92.06
"A","A1",25354717,25354717,"B02",94.11
"B","B1",23865387,23865387,"B02",94.11
"A","A1",20535959,20535959,"B02",97.1
"B","B1",18821821,18821821,"B02",97.1
"A","A1",23375299,23375299,"B02",92.71
"B","B1",21379976,21379976,"B02",92.71
"A","A1",25076700,25076700,"B02",92.19
"B","B1",23107494,23107494,"B02",92.19
"A","A1",23760547,23760547,"B02",96.01
"B","B1",22054125,22054125,"B02",96.01
"A","A1",20928034,20928034,"B02",92.27
"B","B1",19262778,19262778,"B02",92.27
"A","A1",25712501,25712501,"B02",96.98
"B","B1",23774419,23774419,"B02",96.98
"A","A1",26507288,26507288,"B02",93.21
"B","B1",24026395,24026395,"B02",93.21
"A","A1",24452656,24452656,"B02",96.21
"B","B1",22729259,22729259,"B02",96.21
"A","A1",24177477,24177477,"B02",93.37
"B","B1",22348200,22348200,"B02",93.37
"A","A1",22215109,22215109,"B02",95.13
"B","B1",19756473,19756473,"B02",95.13
"A","A1",21334905,21334905,"B02",96.52
"B","B1",19911425,19911425,"B02",96.52
"A","A1",22518945,22518945,"B02",93.08
"B","B1",20606156,20606156,"B02",93.08
"A","A1",21177623,21177623,"B02",96.17
"B","B1",19208227,19208227,"B02",96.17
"A","A1",25349246,25349246,"B02",95.51
"B","B1",23228364,23228364,"B02",95.51
"A","A1",23239719,23239719,"B02",92.16
"B","B1",21968820,21968820,"B02",92.16
"A","A1",22807329,22807329,"B02",95.71
"B","B1",21440754,21440754,"B02",95.71
"A","A1",25910309,25910309,"B02",90.42
"B","B1",23565745,23565745,"B02",90.42
"A","A1",35743320,35743320,"B03",89.39
"B","B1",25721454,25721454,"B03",89.39
"A","A1",31158063,31158063,"B03",85.84
"B","B1",29734783,29734783,"B03",85.84
"A","A1",30660776,30660776,"B03",89.29
"B","B1",29852672,29852672,"B03",89.29
"A","A1",31287763,31287763,"B03",89.61
"B","B1",29240943,29240943,"B03",89.61
"A","A1",30293897,30293897,"B03",88.38
"B","B1",30897624,30897624,"B03",88.38
"A","A1",31972846,31972846,"B03",85.17
"B","B1",29071937,29071937,"B03",85.17
"A","A1",32743770,32743770,"B03",91.31
"B","B1",28010288,28010288,"B03",91.31
"A","A1",28879800,28879800,"B03",87.49
"B","B1",32456160,32456160,"B03",87.49
"A","A1",31861352,31861352,"B03",89.51
"B","B1",29675352,29675352,"B03",89.51
"A","A1",31169506,31169506,"B03",89.94
"B","B1",30123695,30123695,"B03",89.94
"A","A1",31611097,31611097,"B03",82.12
"B","B1",29123738,29123738,"B03",82.12
"A","A1",33612132,33612132,"B03",89.93
"B","B1",28386229,28386229,"B03",89.93
"A","A1",31387919,31387919,"B03",88.54
"B","B1",29998236,29998236,"B03",88.54
"A","A1",30361512,30361512,"B03",86.6
"B","B1",30759713,30759713,"B03",86.6
"A","A1",31046423,31046423,"B03",85.5
"B","B1",29649865,29649865,"B03",85.5
"A","A1",31678745,31678745,"B03",88.85
"B","B1",29229198,29229198,"B03",88.85
"A","A1",31873428,31873428,"B03",84.5
"B","B1",29426495,29426495,"B03",84.5
"A","A1",27246467,27246467,"B03",86.48
"B","B1",33142737,33142737,"B03",86.48
"A","A1",34609808,34609808,"B03",84.7
"B","B1",26691720,26691720,"B03",84.7
"A","A1",31945970,31945970,"B03",87.75
"B","B1",29037384,29037384,"B03",87.75
"A","A1",31540633,31540633,"B03",85.2
"B","B1",30041922,30041922,"B03",85.2
"A","A1",31187702,31187702,"B03",86.01
"B","B1",29441229,29441229,"B03",86.01
"A","A1",28448989,28448989,"B03",85.72
"B","B1",32417173,32417173,"B03",85.72
"A","A1",27710584,27710584,"B03",87.12
"B","B1",32901995,32901995,"B03",87.12
"A","A1",33307150,33307150,"B03",90.64
"B","B1",27791359,27791359,"B03",90.64
"A","A1",26773314,26773314,"B03",89.28
"B","B1",33926160,33926160,"B03",89.28
"A","A1",29712053,29712053,"B03",84.02
"B","B1",31727934,31727934,"B03",84.02
"A","A1",27356082,27356082,"B03",84.84
"B","B1",33478022,33478022,"B03",84.84
"A","A1",31042548,31042548,"B03",85.74
"B","B1",29664685,29664685,"B03",85.74
"A","A1",29085003,29085003,"B03",90.88
"B","B1",31921363,31921363,"B03",90.88
"A","A1",30010666,30010666,"B03",84.12
"B","B1",30823870,30823870,"B03",84.12
"A","A1",28880748,28880748,"B03",86.45
"B","B1",31730414,31730414,"B03",86.45
"A","A1",40507112,40507112,"B04",90.01
"B","B1",39723184,39723184,"B04",90.01
"A","A1",41625911,41625911,"B04",89.79
"B","B1",40748038,40748038,"B04",89.79
"A","A1",41266099,41266099,"B04",97.2
"B","B1",40631386,40631386,"B04",97.2
"A","A1",38968366,38968366,"B04",96.81
"B","B1",37751102,37751102,"B04",96.81
"A","A1",41412113,41412113,"B04",93.6
"B","B1",40511271,40511271,"B04",93.6
"A","A1",41402802,41402802,"B04",93.96
"B","B1",40331769,40331769,"B04",93.96
"A","A1",37005558,37005558,"B04",94.88
"B","B1",35895209,35895209,"B04",94.88
"A","A1",36102950,36102950,"B04",93.21
"B","B1",33948385,33948385,"B04",93.21
"A","A1",41277991,41277991,"B04",92.19
"B","B1",40134477,40134477,"B04",92.19
"A","A1",42267533,42267533,"B04",93.46
"B","B1",41215969,41215969,"B04",93.46
"A","A1",36275668,36275668,"B04",91.83
"B","B1",34659822,34659822,"B04",91.83
"A","A1",40677637,40677637,"B04",93.57
"B","B1",38971970,38971970,"B04",93.57
"A","A1",38047860,38047860,"B04",94.29
"B","B1",36705677,36705677,"B04",94.29
"A","A1",39220140,39220140,"B04",97.68
"B","B1",37999297,37999297,"B04",97.68
"A","A1",36821165,36821165,"B04",97.34
"B","B1",35453142,35453142,"B04",97.34
"A","A1",39622253,39622253,"B04",89.28
"B","B1",38525593,38525593,"B04",89.28
"A","A1",36658630,36658630,"B04",94.61
"B","B1",35092199,35092199,"B04",94.61
"A","A1",39482178,39482178,"B04",92.18
"B","B1",38815679,38815679,"B04",92.18
"A","A1",38961012,38961012,"B04",94.02
"B","B1",38270319,38270319,"B04",94.02
"A","A1",36055671,36055671,"B04",97.16
"B","B1",34541303,34541303,"B04",97.16
"A","A1",37344635,37344635,"B04",97.55
"B","B1",36442207,36442207,"B04",97.55
"A","A1",42311369,42311369,"B04",90.48
"B","B1",40892849,40892849,"B04",90.48
"A","A1",39174407,39174407,"B04",91.95
"B","B1",37662760,37662760,"B04",91.95
"A","A1",37632136,37632136,"B04",90.14
"B","B1",35935755,35935755,"B04",90.14
"A","A1",35144322,35144322,"B04",91.59
"B","B1",33627730,33627730,"B04",91.59
"A","A1",37609517,37609517,"B04",95.4
"B","B1",36373346,36373346,"B04",95.4
"A","A1",40012731,40012731,"B04",96.03
"B","B1",39215817,39215817,"B04",96.03
"A","A1",37459046,37459046,"B04",94.88
"B","B1",35930307,35930307,"B04",94.88
"A","A1",36966770,36966770,"B04",95.08
"B","B1",35315520,35315520,"B04",95.08
"A","A1",42266314,42266314,"B04",92.33
"B","B1",41713425,41713425,"B04",92.33
"A","A1",39294560,39294560,"B04",92.25
"B","B1",37898973,37898973,"B04",92.25
"A","A1",38317482,38317482,"B04",93.54
"B","B1",37118670,37118670,"B04",93.54
"A","A1",50581324,50581324,"B05",97.44
"B","B1",48416338,48416338,"B05",97.44
"A","A1",48627865,48627865,"B05",95.83
"B","B1",46473886,46473886,"B05",95.83
"A","A1",48180244,48180244,"B05",97.7
"B","B1",47090532,47090532,"B05",97.7
"A","A1",47527957,47527957,"B05",98.17
"B","B1",45508735,45508735,"B05",98.17
"A","A1",46362799,46362799,"B05",93.51
"B","B1",44440129,44440129,"B05",93.51
"A","A1",46749209,46749209,"B05",96.39
"B","B1",45049668,45049668,"B05",96.39
"A","A1",45270935,45270935,"B05",93.61
"B","B1",43191737,43191737,"B05",93.61
"A","A1",51158142,51158142,"B05",98.9
"B","B1",48826936,48826936,"B05",98.9
"A","A1",46648971,46648971,"B05",95.54
"B","B1",45335350,45335350,"B05",95.54
"A","A1",49597164,49597164,"B05",93.3
"B","B1",47554198,47554198,"B05",93.3
"A","A1",49968254,49968254,"B05",95.26
"B","B1",47993472,47993472,"B05",95.26
"A","A1",46943923,46943923,"B05",92.8
"B","B1",45263985,45263985,"B05",92.8
"A","A1",46225569,46225569,"B05",96.22
"B","B1",43804476,43804476,"B05",96.22
"A","A1",48392905,48392905,"B05",98.03
"B","B1",46810347,46810347,"B05",98.03
"A","A1",46115515,46115515,"B05",91.06
"B","B1",44740483,44740483,"B05",91.06
"A","A1",47746235,47746235,"B05",90.83
"B","B1",45256476,45256476,"B05",90.83
"A","A1",46909142,46909142,"B05",93.32
"B","B1",44961513,44961513,"B05",93.32
"A","A1",44452041,44452041,"B05",93.05
"B","B1",43145946,43145946,"B05",93.05
"A","A1",46157057,46157057,"B05",99.6
"B","B1",44147763,44147763,"B05",99.6
"A","A1",47412496,47412496,"B05",94.86
"B","B1",45775067,45775067,"B05",94.86
"A","A1",46479050,46479050,"B05",99.6
"B","B1",44798249,44798249,"B05",99.6
"A","A1",47261350,47261350,"B05",94.21
"B","B1",45502816,45502816,"B05",94.21
"A","A1",49139127,49139127,"B05",92.68
"B","B1",47632020,47632020,"B05",92.68
"A","A1",49224555,49224555,"B05",93.2
"B","B1",47287269,47287269,"B05",93.2
"A","A1",46137617,46137617,"B05",99.6
"B","B1",44461957,44461957,"B05",99.6
"A","A1",46845944,46845944,"B05",96.55
"B","B1",44845586,44845586,"B05",96.55
"A","A1",49248210,49248210,"B05",96.64
"B","B1",47185083,47185083,"B05",96.64
"A","A1",49745489,49745489,"B05",94.33
"B","B1",47530374,47530374,"B05",94.33
"A","A1",44942145,44942145,"B05",95.94
"B","B1",43195468,43195468,"B05",95.94
"A","A1",47985935,47985935,"B05",92.88
"B","B1",46023516,46023516,"B05",92.88
"A","A1",49659171,49659171,"B05",94.28
"B","B1",47426492,47426492,"B05",94.28
"A","A1",45482675,45482675,"B05",96.82
"B","B1",43428485,43428485,"B05",96.82
"A","A1",59069000,59069000,"B06",94.47
"B","B1",57410464,57410464,"B06",94.47
"A","A1",59379620,59379620,"B06",94.45
"B","B1",57258563,57258563,"B06",94.45
"A","A1",58299245,58299245,"B06",96.08
"B","B1",56987653,56987653,"B06",96.08
"A","A1",56247655,56247655,"B06",95.62
"B","B1",54816780,54816780,"B06",95.62
"A","A1",55709111,55709111,"B06",91.26
"B","B1",53972716,53972716,"B06",91.26
"A","A1",56220186,56220186,"B06",96.88
"B","B1",55142333,55142333,"B06",96.88
"A","A1",54548561,54548561,"B06",97.05
"B","B1",53041440,53041440,"B06",97.05
"A","A1",56598111,56598111,"B06",93.82
"B","B1",55192875,55192875,"B06",93.82
"A","A1",56326482,56326482,"B06",97.97
"B","B1",55066750,55066750,"B06",97.97
"A","A1",53221345,53221345,"B06",93.05
"B","B1",52163141,52163141,"B06",93.05
"A","A1",51575125,51575125,"B06",95.78
"B","B1",50474408,50474408,"B06",95.78
"A","A1",53104947,53104947,"B06",94.32
"B","B1",52461351,52461351,"B06",94.32
"A","A1",56387672,56387672,"B06",92.5
"B","B1",54324535,54324535,"B06",92.5
"A","A1",55477003,55477003,"B06",93.22
"B","B1",53634894,53634894,"B06",93.22
"A","A1",53157562,53157562,"B06",94.06
"B","B1",51724329,51724329,"B06",94.06
"A","A1",54983154,54983154,"B06",97.67
"B","B1",53059160,53059160,"B06",97.67
"A","A1",55584978,55584978,"B06",96.35
"B","B1",54208837,54208837,"B06",96.35
"A","A1",54770431,54770431,"B06",94.98
"B","B1",53445129,53445129,"B06",94.98
"A","A1",56793423,56793423,"B06",94.76
"B","B1",55497335,55497335,"B06",94.76
"A","A1",57066103,57066103,"B06",92.26
"B","B1",55902077,55902077,"B06",92.26
"A","A1",56343809,56343809,"B06",93.2
"B","B1",54541094,54541094,"B06",93.2
"A","A1",54771871,54771871,"B06",88.16
"B","B1",53606852,53606852,"B06",88.16
"A","A1",52867180,52867180,"B06",89.14
"B","B1",51471132,51471132,"B06",89.14
"A","A1",54492257,54492257,"B06",98.09
"B","B1",53487122,53487122,"B06",98.09
"A","A1",53990656,53990656,"B06",94.44
"B","B1",52999700,52999700,"B06",94.44
"A","A1",51663002,51663002,"B06",91.53
"B","B1",51511241,51511241,"B06",91.53
"A","A1",54240916,54240916,"B06",94.05
"B","B1",53337449,53337449,"B06",94.05
"A","A1",56155175,56155175,"B06",95.1
"B","B1",54747181,54747181,"B06",95.1
"A","A1",52521805,52521805,"B06",97.52
"B","B1",52293772,52293772,"B06",97.52
"A","A1",57364922,57364922,"B06",92.92
"B","B1",55556357,55556357,"B06",92.92
"A","A1",55742439,55742439,"B06",94.2
"B","B1",54766779,54766779,"B06",94.2
"A","A1",57737219,57737219,"B06",93.5
"B","B1",56195948,56195948,"B06",93.5
"A","A2",12272589,12272589,"B07",80.99
"B","B2",12357906,12357906,"B07",80.99
"A","A2",14280070,14280070,"B07",83.47
"B","B2",14017518,14017518,"B07",83.47
"A","A2",14915404,14915404,"B07",85.18
"B","B2",14045824,14045824,"B07",85.18
"A","A2",11893918,11893918,"B07",82.08
"B","B2",11674194,11674194,"B07",82.08
"A","A2",14853934,14853934,"B07",82.27
"B","B2",14855358,14855358,"B07",82.27
"A","A2",16281854,16281854,"B07",82.26
"B","B2",15641108,15641108,"B07",82.26
"A","A2",12168252,12168252,"B07",85.83
"B","B2",12382144,12382144,"B07",85.83
"A","A2",16155905,16155905,"B07",80
"B","B2",15832027,15832027,"B07",80
"A","A2",16680342,16680342,"B07",80.48
"B","B2",16317121,16317121,"B07",80.48
"A","A2",14370451,14370451,"B07",80.92
"B","B2",14653834,14653834,"B07",80.92
"A","A2",13039747,13039747,"B07",81.43
"B","B2",12475704,12475704,"B07",81.43
"A","A2",16227070,16227070,"B07",78.86
"B","B2",16865978,16865978,"B07",78.86
"A","A2",12518468,12518468,"B07",82.39
"B","B2",12801036,12801036,"B07",82.39
"A","A2",14536318,14536318,"B07",78.24
"B","B2",14331461,14331461,"B07",78.24
"A","A2",16898588,16898588,"B07",78.93
"B","B2",17289583,17289583,"B07",78.93
"A","A2",16710110,16710110,"B07",82.75
"B","B2",17583006,17583006,"B07",82.75
"A","A2",11786447,11786447,"B07",77.51
"B","B2",11833868,11833868,"B07",77.51
"A","A2",12962259,12962259,"B07",81.47
"B","B2",12615907,12615907,"B07",81.47
"A","A2",17454875,17454875,"B07",84.11
"B","B2",17547831,17547831,"B07",84.11
"A","A2",15213544,15213544,"B07",79.75
"B","B2",15204810,15204810,"B07",79.75
"A","A2",17519281,17519281,"B07",83.92
"B","B2",16753996,16753996,"B07",83.92
"A","A2",10098966,10098966,"B07",83.86
"B","B2",9518080,9518080,"B07",83.86
"A","A2",11648155,11648155,"B07",81.87
"B","B2",11638108,11638108,"B07",81.87
"A","A2",14158975,14158975,"B07",77.13
"B","B2",14100399,14100399,"B07",77.13
"A","A2",16116052,16116052,"B07",84.5
"B","B2",15950817,15950817,"B07",84.5
"A","A2",17217066,17217066,"B07",83.05
"B","B2",17485763,17485763,"B07",83.05
"A","A2",18327279,18327279,"B07",82.34
"B","B2",18068149,18068149,"B07",82.34
"A","A2",15446075,15446075,"B07",78.89
"B","B2",15341739,15341739,"B07",78.89
"A","A2",14871536,14871536,"B07",83.69
"B","B2",15102571,15102571,"B07",83.69
"A","A2",11627143,11627143,"B07",81.76
"B","B2",12110807,12110807,"B07",81.76
"A","A2",14005269,14005269,"B07",81.11
"B","B2",14439119,14439119,"B07",81.11
"A","A2",10916674,10916674,"B07",82.34
"B","B2",10464298,10464298,"B07",82.34
"A","A2",17929741,17929741,"B08",89.56
"B","B2",17866591,17866591,"B08",89.56
"A","A2",15049367,15049367,"B08",90.23
"B","B2",13683657,13683657,"B08",90.23
"A","A2",23054931,23054931,"B08",83.88
"B","B2",22570335,22570335,"B08",83.88
"A","A2",15060613,15060613,"B08",87.28
"B","B2",14685323,14685323,"B08",87.28
"A","A2",21000817,21000817,"B08",87.74
"B","B2",20771416,20771416,"B08",87.74
"A","A2",15672859,15672859,"B08",88.79
"B","B2",14221437,14221437,"B08",88.79
"A","A2",18915094,18915094,"B08",87.26
"B","B2",18329736,18329736,"B08",87.26
"A","A2",15234244,15234244,"B08",85.38
"B","B2",14328173,14328173,"B08",85.38
"A","A2",15164531,15164531,"B08",87.8
"B","B2",14204810,14204810,"B08",87.8
"A","A2",21336064,21336064,"B08",90.16
"B","B2",21080977,21080977,"B08",90.16
"A","A2",18204326,18204326,"B08",85.44
"B","B2",17868109,17868109,"B08",85.44
"A","A2",23030972,23030972,"B08",90.14
"B","B2",22255585,22255585,"B08",90.14
"A","A2",15304167,15304167,"B08",91.23
"B","B2",14059129,14059129,"B08",91.23
"A","A2",19351635,19351635,"B08",89.55
"B","B2",18538230,18538230,"B08",89.55
"A","A2",18746987,18746987,"B08",87.64
"B","B2",18902888,18902888,"B08",87.64
"A","A2",19610940,19610940,"B08",89.53
"B","B2",19475347,19475347,"B08",89.53
"A","A2",15771919,15771919,"B08",87.79
"B","B2",14974844,14974844,"B08",87.79
"A","A2",17663030,17663030,"B08",84.19
"B","B2",17345121,17345121,"B08",84.19
"A","A2",16784772,16784772,"B08",89.51
"B","B2",15154656,15154656,"B08",89.51
"A","A2",15555115,15555115,"B08",91.26
"B","B2",14847722,14847722,"B08",91.26
"A","A2",16143643,16143643,"B08",93.04
"B","B2",15163234,15163234,"B08",93.04
"A","A2",16182190,16182190,"B08",89.77
"B","B2",15815656,15815656,"B08",89.77
"A","A2",19052353,19052353,"B08",86.46
"B","B2",17996588,17996588,"B08",86.46
"A","A2",20774416,20774416,"B08",88.17
"B","B2",20449779,20449779,"B08",88.17
"A","A2",21049403,21049403,"B08",91.83
"B","B2",19970269,19970269,"B08",91.83
"A","A2",15746324,15746324,"B08",89.83
"B","B2",13830497,13830497,"B08",89.83
"A","A2",19785682,19785682,"B08",88.33
"B","B2",19571491,19571491,"B08",88.33
"A","A2",19148642,19148642,"B08",89.93
"B","B2",18319687,18319687,"B08",89.93
"A","A2",19444286,19444286,"B08",88.66
"B","B2",18975650,18975650,"B08",88.66
"A","A2",15226870,15226870,"B08",87.72
"B","B2",14502727,14502727,"B08",87.72
"A","A2",16937082,16937082,"B08",90.91
"B","B2",16038477,16038477,"B08",90.91
"A","A2",14418110,14418110,"B08",89.75
"B","B2",14066734,14066734,"B08",89.75
"A","A2",27225592,27225592,"B09",85.61
"B","B2",28702701,28702701,"B09",85.61
"A","A2",23490509,23490509,"B09",81.97
"B","B2",24615563,24615563,"B09",81.97
"A","A2",23250510,23250510,"B09",82.13
"B","B2",24588425,24588425,"B09",82.13
"A","A2",25874918,25874918,"B09",82.66
"B","B2",27544570,27544570,"B09",82.66
"A","A2",22712840,22712840,"B09",83.8
"B","B2",24152350,24152350,"B09",83.8
"A","A2",27185179,27185179,"B09",81.5
"B","B2",28641295,28641295,"B09",81.5
"A","A2",24795739,24795739,"B09",77.12
"B","B2",26648298,26648298,"B09",77.12
"A","A2",24912254,24912254,"B09",84.4
"B","B2",26863163,26863163,"B09",84.4
"A","A2",24385143,24385143,"B09",81.3
"B","B2",25637362,25637362,"B09",81.3
"A","A2",23773621,23773621,"B09",81.47
"B","B2",25326631,25326631,"B09",81.47
"A","A2",23746969,23746969,"B09",79.54
"B","B2",25696198,25696198,"B09",79.54
"A","A2",23886071,23886071,"B09",81.8
"B","B2",25764310,25764310,"B09",81.8
"A","A2",24505616,24505616,"B09",75.79
"B","B2",26339200,26339200,"B09",75.79
"A","A2",25300272,25300272,"B09",83.58
"B","B2",26656580,26656580,"B09",83.58
"A","A2",25936162,25936162,"B09",82.34
"B","B2",28206632,28206632,"B09",82.34
"A","A2",21752258,21752258,"B09",81.89
"B","B2",23451998,23451998,"B09",81.89
"A","A2",24231490,24231490,"B09",83.55
"B","B2",25997390,25997390,"B09",83.55
"A","A2",27101571,27101571,"B09",81.47
"B","B2",28572333,28572333,"B09",81.47
"A","A2",21791985,21791985,"B09",82.74
"B","B2",23314566,23314566,"B09",82.74
"A","A2",24120350,24120350,"B09",81.01
"B","B2",24869659,24869659,"B09",81.01
"A","A2",22976314,22976314,"B09",84.23
"B","B2",24710164,24710164,"B09",84.23
"A","A2",26331108,26331108,"B09",80.8
"B","B2",28069418,28069418,"B09",80.8
"A","A2",24899374,24899374,"B09",80.78
"B","B2",26639182,26639182,"B09",80.78
"A","A2",21809634,21809634,"B09",82.85
"B","B2",23504539,23504539,"B09",82.85
"A","A2",25356333,25356333,"B09",82.06
"B","B2",26892361,26892361,"B09",82.06
"A","A2",25522444,25522444,"B09",81.54
"B","B2",27068536,27068536,"B09",81.54
"A","A2",24219271,24219271,"B09",77.87
"B","B2",25901929,25901929,"B09",77.87
"A","A2",22163096,22163096,"B09",79.24
"B","B2",23662681,23662681,"B09",79.24
"A","A2",25035293,25035293,"B09",81.74
"B","B2",26535166,26535166,"B09",81.74
"A","A2",21820674,21820674,"B09",81.72
"B","B2",22673131,22673131,"B09",81.72
"A","A2",21190881,21190881,"B09",79.46
"B","B2",23075711,23075711,"B09",79.46
"A","A2",23103996,23103996,"B09",81.58
"B","B2",24320693,24320693,"B09",81.58
"A","A2",34961976,34961976,"B10",88.8
"B","B2",27199380,27199380,"B10",88.8
