"chr","start","end","value","link_to"
"Chr6",22200000,23680000,12.841,""
"Chr6",23680000,25160000,15.176,""
"Chr6",25160000,26640000,17.355,""
"Chr6",26640000,28120000,13.423,""
"Chr6",28120000,29600000,15.906,""
"Chr6",29600000,31080000,10.985,""
"Chr6",31080000,32560000,9.249,""
"Chr6",32560000,34040000,6.568,""
"Chr6",34040000,35520000,6.132,""
"Chr6",35520000,3.7e+07,4.743,""
"Chr7",0,1160000,4.973,""
"Chr7",1160000,2320000,4.865,""
"Chr7",2320000,3480000,9.07,""
"Chr7",3480000,4640000,13.83,""
"Chr7",4640000,5800000,18.193,""
"Chr7",5800000,6960000,21.774,""
"Chr7",6960000,8120000,20.362,""
"Chr7",8120000,9280000,14.277,""
"Chr7",9280000,10440000,9.141,""
"Chr7",10440000,11600000,5.092,""
"Chr7",11600000,12760000,3.76,""
"Chr7",12760000,13920000,3.333,""
"Chr7",13920000,15080000,4.994,""
"Chr7",15080000,16240000,4.363,""
"Chr7",16240000,17400000,7.538,""
"Chr7",17400000,18560000,11.842,""
"Chr7",18560000,19720000,13.257,""
"Chr7",19720000,20880000,14.702,""
"Chr7",20880000,22040000,15.21,""
"Chr7",22040000,23200000,16.048,""
"Chr7",23200000,24360000,11.472,""
"Chr7",24360000,25520000,6.651,""
"Chr7",25520000,26680000,7.793,""
"Chr7",26680000,27840000,4.914,""
"Chr7",27840000,2.9e+07,4.402,""
"Chr8",0,880000,4.652,""
"Chr8",880000,1760000,5.882,""
"Chr8",1760000,2640000,6.635,""
"Chr8",2640000,3520000,12.088,""
"Chr8",3520000,4400000,20.655,""
"Chr8",4400000,5280000,25.907,""
"Chr8",5280000,6160000,20.048,""
"Chr8",6160000,7040000,12.702,""
"Chr8",7040000,7920000,9.603,""
"Chr8",7920000,8800000,4.453,""
"Chr8",8800000,9680000,4.055,""
"Chr8",9680000,10560000,2.901,""
"Chr8",10560000,11440000,4.446,""
"Chr8",11440000,12320000,8.073,""
"Chr8",12320000,13200000,8.948,""
"Chr8",13200000,14080000,12.723,""
"Chr8",14080000,14960000,14.064,""
"Chr8",14960000,15840000,13.345,""
"Chr8",15840000,16720000,15.046,""
"Chr8",16720000,17600000,13.454,""
"Chr8",17600000,18480000,11.152,""
"Chr8",18480000,19360000,10.728,""
"Chr8",19360000,20240000,5.462,""
"Chr8",20240000,21120000,6.352,""
"Chr8",21120000,2.2e+07,2.349,""
"Chr7",20191168,21625319,NA,"Chr1:71184888-72040337"
"Chr3",18045780,19881997,NA,"Chr6:15152916-16132393"
"Chr7",16193067,17393435,NA,"Chr8:828355-2131023"
"Chr1",41440100,41843705,NA,"Chr5:5202581-5966139"
"Chr5",40577359,41590043,NA,"Chr2:52319362-52785665"
"Chr6",21960909,22652686,NA,"Chr7:7206028-8370166"
"Chr1",66389511,67418014,NA,"Chr4:40675413-41250324"
"Chr7",9921092,10934918,NA,"Chr6:25463823-27658191"
"Chr3",47264676,49065863,NA,"Chr1:35119004-36712912"
"Chr4",35309632,35761250,NA,"Chr3:27694420-29874816"
"Chr7",19472492,20316726,NA,"Chr5:2968209-3640778"
"Chr7",16780227,18606722,NA,"Chr1:48660856-49371103"
"Chr3",52168289,53363342,NA,"Chr7:24856352-26501468"
"Chr6",26614746,28201720,NA,"Chr3:54348258-55333405"
"Chr4",43821933,45641247,NA,"Chr2:48771920-50779700"
"Chr6",19019539,19591917,NA,"Chr2:4951990-5395575"
"Chr5",1999934,2749797,NA,"Chr6:25636706-27131505"
"Chr5",23861336,25426644,NA,"Chr8:3835975-4717347"
"Chr1",2783263,4833835,NA,"Chr4:16961975-18181268"
"Chr6",26886732,27754514,NA,"Chr4:34294387-35494896"
"Chr1",42505179,44278761,NA,"Chr2:25675994-27037512"
"Chr3",18732026,19734013,NA,"Chr6:28976904-30119310"
"Chr8",12994191,14593994,NA,"Chr5:41254247-42317460"
"Chr1",41522243,42643394,NA,"Chr2:54684457-56798544"
"Chr6",25525098,27645718,NA,"Chr7:14444485-15282922"
"Chr3",3336127,4772876,NA,"Chr1:2862767-4773483"
"Chr5",880760,1458682,NA,"Chr7:18873462-19359317"
"Chr6",29078115,29606331,NA,"Chr5:38923307-40368544"
"Chr6",14899051,15482987,NA,"Chr8:8115801-8586918"
"Chr5",32147636,32725439,NA,"Chr3:12141416-13330922"
"Chr8",2902662,5048833,NA,"Chr3:22819302-23992550"
"Chr8",5422478,7556939,NA,"Chr3:53386017-54885453"
"Chr6",28545718,30560986,NA,"Chr7:14088106-16099796"
"Chr7",17015458,18251968,NA,"Chr3:48842301-50324685"
"Chr5",11889397,13997975,NA,"Chr3:41292813-43133277"
"Chr4",846828,1605736,NA,"Chr8:19000084-20286553"
"Chr1",17460384,18568134,NA,"Chr8:20009338-21309143"
"Chr3",24510716,26171436,NA,"Chr8:4297455-5395765"
"Chr5",22624795,23618186,NA,"Chr8:1580471-3543508"
"Chr5",42077080,42795513,NA,"Chr4:45389645-47192045"
